c1_cp_sta_ppp	Time__C1_CP_STA_PPP	ms	1.0e-3&gt;s	UT Time	Interval time tag		support_data											
c1_cp_sta_ppp	Frequency__C1_CP_STA_PPP	Hz	1.0&gt;Hz	Frequency bin centres	Interval centred frequency tag		support_data											
c1_cp_sta_ppp	Duration__C1_CP_STA_PPP	s	1.0&gt;s	Half-interval duration	Half-interval duration		support_data											
c1_cp_sta_ppp	Status__C1_CP_STA_PPP			STAFF-SA Status	STAFF-SA Status		metadata											
c1_cp_sta_ppp	Frequency_BHW__C1_CP_STA_PPP	Hz	1.0&gt;Hz	Frequency bin half widths	Frequency bin half widths		support_data											
c1_cp_sta_ppp	THSVD_mfa__C1_CP_STA_PPP	&#176;	0.01745&gt;rad	Polar angle (SVD) in MFA coordinate system	Polar Angle of the direction of propagation in MFA coordinate system (SVD).		data											
c1_cp_sta_ppp	PHSVD_mfa__C1_CP_STA_PPP	&#176;	0.01745&gt;rad	Azimuthal angle (SVD) in MFA coordinate system	Azimuthal Angle of the direction of propagation in MFA coordinate system (SVD).		data											
c1_cp_sta_ppp	ELLSVD__C1_CP_STA_PPP		1.0&gt;unitless	Ellipticity of the polarization (SVD).	Ellipticity of the polarization (SVD).		data											
c1_cp_sta_ppp	POLSVD__C1_CP_STA_PPP		1.0&gt;unitless	Degree of polarization in the polarization plane (SVD).	Degree of polarization in the polarization plane (SVD).		data											
c1_cp_sta_ppp	BSUM__C1_CP_STA_PPP	nT^2/Hz	1.0E-18&gt;T^2 Hz^-1	Sum of the three magnetic auto-power spectra.	Sum of the three magnetic auto-power spectra.		data											
c1_cp_sta_ppp	PVSIGN__C1_CP_STA_PPP		1.0&gt;unitless	Normalized Z-component of the Poynting vector	Parallel component of the Poynting vector normalized by its standard deviation.		data											
c1_cp_sta_ppp	ESUM__C1_CP_STA_PPP	mV^2 m^-2 Hz^-1	1.0E-6&gt;V^2 m^-2 Hz^-1	Sum of the two electric auto-power spectra.	Sum of the two electric auto-power spectra.		data											
c1_cp_sta_ppp	Frequency__C1_CP_STA_PPP_LABEL_1			Frequency__C1_CP_STA_PPP_LABEL_1	Frequency__C1_CP_STA_PPP_LABEL_1		metadata											
c1_cp_sta_ppp	Frequency_BHW__C1_CP_STA_PPP_LABEL_1			Frequency_BHW__C1_CP_STA_PPP_LABEL_1	Frequency_BHW__C1_CP_STA_PPP_LABEL_1		metadata											
