c3_cp_sta_sm	Time__C3_CP_STA_SM	ms	1.0e-3&gt;s	UT Time	Interval start time tag		support_data											
c3_cp_sta_sm	Duration__C3_CP_STA_SM	s	1.0&gt;s	Interval duration	Interval duration		support_data											
c3_cp_sta_sm	Status__C3_CP_STA_SM			STAFF-SA Status	STAFF-SA Status		metadata											
c3_cp_sta_sm	Frequency__C3_CP_STA_SM	Hz	1.0&gt;Hz	Frequency bin centres	Interval centred frequency tag		support_data											
c3_cp_sta_sm	Frequency_BHW__C3_CP_STA_SM	Hz	1.0&gt;Hz	Frequency bin half widths	Frequency bin half widths		support_data											
c3_cp_sta_sm	BB_xyz_xyz_sr2__C3_CP_STA_SM	mV^2 m^-2 Hz^-1	1.1E-23&gt;T^2 Hz^-1	Spectral Matrix, BB components	Cross-spectral matrix of the magnetic field at 27 frequencies from 8 Hz to 4 kHz		data											
c3_cp_sta_sm	EE_xy_xy_sr2__C3_CP_STA_SM	mV^2 m^-2 Hz^-1	1.0E-6&gt;V^2 m^-2 Hz^-1	Spectral Matrix, EE components	Cross-spectral matrix of the electric field at 27 frequencies from 8 Hz to 4 kHz		data											
c3_cp_sta_sm	BE_xyz_xy_sr2__C3_CP_STA_SM	mV^2 m^-2 Hz^-1	3.3E-15&gt;T V m^-1 Hz^-1	Spectral Matrix, BE components	Electromagnetic cross-spectral ExB products at 27 frequencies from 8 Hz to 4 kHz		data											
c3_cp_sta_sm	Frequency__C3_CP_STA_SM_LABEL_1			Frequency__C3_CP_STA_SM_LABEL_1	Frequency__C3_CP_STA_SM_LABEL_1		metadata											
c3_cp_sta_sm	Frequency_BHW__C3_CP_STA_SM_LABEL_1			Frequency_BHW__C3_CP_STA_SM_LABEL_1	Frequency_BHW__C3_CP_STA_SM_LABEL_1		metadata											
c3_cp_sta_sm	BB_xyz_xyz_sr2__C3_CP_STA_SM_REPRESENTATION_3			BB_xyz_xyz_sr2__C3_CP_STA_SM_REPRESENTATION_3	BB_xyz_xyz_sr2__C3_CP_STA_SM_REPRESENTATION_3		metadata											
c3_cp_sta_sm	BB_xyz_xyz_sr2__C3_CP_STA_SM_REPRESENTATION_4			BB_xyz_xyz_sr2__C3_CP_STA_SM_REPRESENTATION_4	BB_xyz_xyz_sr2__C3_CP_STA_SM_REPRESENTATION_4		metadata											
c3_cp_sta_sm	BB_xyz_xyz_sr2__C3_CP_STA_SM_LABEL_2			BB_xyz_xyz_sr2__C3_CP_STA_SM_LABEL_2	BB_xyz_xyz_sr2__C3_CP_STA_SM_LABEL_2		metadata											
c3_cp_sta_sm	BB_xyz_xyz_sr2__C3_CP_STA_SM_LABEL_3			BB_xyz_xyz_sr2__C3_CP_STA_SM_LABEL_3	BB_xyz_xyz_sr2__C3_CP_STA_SM_LABEL_3		metadata											
c3_cp_sta_sm	BB_xyz_xyz_sr2__C3_CP_STA_SM_LABEL_4			BB_xyz_xyz_sr2__C3_CP_STA_SM_LABEL_4	BB_xyz_xyz_sr2__C3_CP_STA_SM_LABEL_4		metadata											
c3_cp_sta_sm	EE_xy_xy_sr2__C3_CP_STA_SM_REPRESENTATION_3			EE_xy_xy_sr2__C3_CP_STA_SM_REPRESENTATION_3	EE_xy_xy_sr2__C3_CP_STA_SM_REPRESENTATION_3		metadata											
c3_cp_sta_sm	EE_xy_xy_sr2__C3_CP_STA_SM_REPRESENTATION_4			EE_xy_xy_sr2__C3_CP_STA_SM_REPRESENTATION_4	EE_xy_xy_sr2__C3_CP_STA_SM_REPRESENTATION_4		metadata											
c3_cp_sta_sm	EE_xy_xy_sr2__C3_CP_STA_SM_LABEL_2			EE_xy_xy_sr2__C3_CP_STA_SM_LABEL_2	EE_xy_xy_sr2__C3_CP_STA_SM_LABEL_2		metadata											
c3_cp_sta_sm	EE_xy_xy_sr2__C3_CP_STA_SM_LABEL_3			EE_xy_xy_sr2__C3_CP_STA_SM_LABEL_3	EE_xy_xy_sr2__C3_CP_STA_SM_LABEL_3		metadata											
c3_cp_sta_sm	EE_xy_xy_sr2__C3_CP_STA_SM_LABEL_4			EE_xy_xy_sr2__C3_CP_STA_SM_LABEL_4	EE_xy_xy_sr2__C3_CP_STA_SM_LABEL_4		metadata											
c3_cp_sta_sm	BE_xyz_xy_sr2__C3_CP_STA_SM_REPRESENTATION_3			BE_xyz_xy_sr2__C3_CP_STA_SM_REPRESENTATION_3	BE_xyz_xy_sr2__C3_CP_STA_SM_REPRESENTATION_3		metadata											
c3_cp_sta_sm	BE_xyz_xy_sr2__C3_CP_STA_SM_REPRESENTATION_4			BE_xyz_xy_sr2__C3_CP_STA_SM_REPRESENTATION_4	BE_xyz_xy_sr2__C3_CP_STA_SM_REPRESENTATION_4		metadata											
c3_cp_sta_sm	BE_xyz_xy_sr2__C3_CP_STA_SM_LABEL_2			BE_xyz_xy_sr2__C3_CP_STA_SM_LABEL_2	BE_xyz_xy_sr2__C3_CP_STA_SM_LABEL_2		metadata											
c3_cp_sta_sm	BE_xyz_xy_sr2__C3_CP_STA_SM_LABEL_3			BE_xyz_xy_sr2__C3_CP_STA_SM_LABEL_3	BE_xyz_xy_sr2__C3_CP_STA_SM_LABEL_3		metadata											
c3_cp_sta_sm	BE_xyz_xy_sr2__C3_CP_STA_SM_LABEL_4			BE_xyz_xy_sr2__C3_CP_STA_SM_LABEL_4	BE_xyz_xy_sr2__C3_CP_STA_SM_LABEL_4		metadata											
