c4_cp_rap_i3dm_h	Time_tags__C4_CP_RAP_I3DM_H	ms	1.0e-3&gt;s	Universal Time	Interval centered time tag		support_data											
c4_cp_rap_i3dm_h	Time_half_interval__C4_CP_RAP_I3DM_H	s	1.0&gt;s	Time half interval	Time half interval		support_data											
c4_cp_rap_i3dm_h	Rec_Key__C4_CP_RAP_I3DM_H		1&gt;unitless	3D ion record key	Key for merged ion distributions: number of records merged		support_data											
c4_cp_rap_i3dm_h	Proton_Dif_flux_3DM__C4_CP_RAP_I3DM_H	Particles/(cm^2 s sr keV)	6.242E+19&gt;(particles) m^-2 s^-1 sr^-1 J^-1	Proton Differential Flux	Proton Differential Flux		data											
c4_cp_rap_i3dm_h	Proton_Dif_flux_3DM_SD__C4_CP_RAP_I3DM_H	Particles/(cm^2 s sr keV)	6.242E+19&gt;(particles) m^-2 s^-1 sr^-1 J^-1	Std. Dev. Proton Differential Flux	Standard Deviation of Proton Differential Flux		data											
c4_cp_rap_i3dm_h	Dimension_E__C4_CP_RAP_I3DM_H	keV	1.609E-16&gt;J	Proton energy thresholds	Energy channels		support_data											
c4_cp_rap_i3dm_h	Dimension_Az__C4_CP_RAP_I3DM_H	&#176;	0.01745&gt;rad	Azimuthal angle	16 Azimuthal sectors of RAPID		support_data											
c4_cp_rap_i3dm_h	Dimension_Pol__C4_CP_RAP_I3DM_H	&#176;	0.01745&gt;rad	Polar angle	12 Polar directions of IIMS		support_data											
c4_cp_rap_i3dm_h	Quality__C4_CP_RAP_I3DM_H		1&gt;unitless	Data quality flag	Data quality flag		support_data											
c4_cp_rap_i3dm_h	DELTA_PLUS_Dimension_E__C4_CP_RAP_I3DM_H	keV		DELTA_PLUS_Dimension_E__C4_CP_RAP_I3DM_H	DELTA_PLUS_Dimension_E__C4_CP_RAP_I3DM_H		support_data											
c4_cp_rap_i3dm_h	Metadata_Dimension_E__C4_CP_RAP_I3DM_H			Metadata_Dimension_E__C4_CP_RAP_I3DM_H	Metadata_Dimension_E__C4_CP_RAP_I3DM_H		metadata											
