erg_orb_l3	epoch	ns		Epoch	Time, beginning of interval		support_data											
erg_orb_l3	date_time			Date and Time	Observation date and time		support_data											
erg_orb_l3	label_date_time			Labels for Date and Time	Labels for Date and Time		metadata											
erg_orb_l3	unit_date_time			Units for Date and Time	Units for Date and Time		metadata											
erg_orb_l3	pos_eq_op			Positions at equator (using OP77Q model)	Spacecraft positions mapped onto the magnetic equator (using OP77Q model)		data											
erg_orb_l3	pos_iono_north_op	&#176;		Footprints North (using OP77Q model)	Geomagnetic latitude and longitude of spacecraft footprints at 100km in the northern hemisphere (using OP77Q model)		data											
erg_orb_l3	pos_iono_south_op	&#176;		Footprints South (using OP77Q model)	Geomagnetic latitude and longitude of spacecraft footprints at 100km in the southern hemisphere (using OP77Q model)		data											
erg_orb_l3	pos_lmc_op			McIlwain&apos;s L parameter (using OP77Q model)	McIlwain&apos;s L parameter for pitch angles of 90, 80, 70, 60, 50, 40, 30, 20 and 10 deg in descending order (using OP77Q model)		data											
erg_orb_l3	pos_lstar_op			L-star parameter (using OP77Q model)	L-star parameter for pitch angles of 90, 80, 70, 60, 50, 40, 30, 20 and 10 deg in descending order (using OP77Q model)		data											
erg_orb_l3	pos_I_op	Earth radii		Integral invariant (using OP77Q model)	I: the integral invariant (Roederer, J. G., Dynamics of the geomagnetically trapped radiation, Springer New York, pp. 48, 1970)		data											
erg_orb_l3	pos_blocal_op	nT		B magnitude at the spacecraft position (using OP77Q model)	Magnetic field at spacecraft position (using OP77Q model)		data											
erg_orb_l3	pos_beq_op	nT		B magnitude at equator (using OP77Q model)	Magnetic field strength at spacecraft positions mapped onto the magnetic equator (using OP77Q model)		data											
erg_orb_l3	pos_LABL_1			Labels for McIlwain&apos;s L parameter	Labels for McIlwain&apos;s L parameter		metadata											
erg_orb_l3	pos_LABL_2			Labels for L-star parameter	Labels for L-star parameter		metadata											
erg_orb_l3	pos_LABL_3			Labels for I parameter	Labels for I parameter		metadata											
erg_orb_l3	pos_LABL_4			Labels for spacecraft positions mapped  onto the magnetic equator	Labels for spacecraft positions mapped  onto the magnetic equator		metadata											
erg_orb_l3	pos_UNIT_4			Labels for spacecraft positions mapped  onto the magnetic equator	Labels for spacecraft positions mapped  onto the magnetic equator		metadata											
erg_orb_l3	pos_LABL_5			Geographic latitude and longitude of spacecraft footprints at 100 km altitude	Geographic latitude and longitude of spacecraft footprints at 100 km altitude		metadata											
erg_orb_l3	pos_LABL_6			Geographic latitude and longitude of spacecraft footprints at 100 km altitude	Geographic latitude and longitude of spacecraft footprints at 100 km altitude		metadata											
