gold_l2_o2den	spectral_width	nm		Width of each data channel	Width of each data channel		support_data											
gold_l2_o2den	o2den	mol/cm^3		Retrieved O2 density	Retrieved O2 density		data											
gold_l2_o2den	o2den_unc_ran	mol/cm^3		Random uncertainty of retrieved O2	Random uncertainty of retrieved O2		data											
gold_l2_o2den	o2den_unc_mod	mol/cm^3		Model uncertainty of retrieved O2	Model uncertainty of retrieved O2		data											
gold_l2_o2den	o2den_unc_sys	mol/cm^3		Systematic uncertainty of retrieved O2	Systematic uncertainty of retrieved O2		data											
gold_l2_o2den	lon_ref	&#176;		Longitude at ZREF	Longitude at ZREF		data											
gold_l2_o2den	temperature	&#176;K		Assumed temperature profile	Assumed temperature profile		support_data											
gold_l2_o2den	zret	km		Retrieval geometric altitude grid	Retrieval geometric altitude grid		support_data											
gold_l2_o2den	time_utc	s		Universal Time	ISO 8601 formatted UTC timestamp		support_data											
gold_l2_o2den	n_iter			Number of iterations	Number of iterations		metadata											
gold_l2_o2den	convergence			Retrieval convergence flag	Retrieval convergence flag		metadata											
gold_l2_o2den	input_l1c_file			Input L1C File	Corresponding Input L1C File		metadata											
gold_l2_o2den	lat_ref	&#176;		Latitude at ZREF	Latitude at ZREF		data											
gold_l2_o2den	normalization			Normalization spectrum	Normalization spectrum		support_data											
gold_l2_o2den	o2den_dqi			O2 Data Quality Indicator	O2 Data Quality Indicator. 0 indicates good data. See documentation for list of other values		support_data											
gold_l2_o2den	channel			Channel	Channel identifier (A or B)		metadata											
gold_l2_o2den	central_wavelength	nm		Wavelength	Wavelength		support_data											
gold_l2_o2den	wavelength_labl			wavelength label	wavelength label		metadata											
gold_l2_o2den	signal_to_noise			Effective signal to noise above the atmosphere	Effective signal to noise above the atmosphere		data											
gold_l2_o2den	zdat	km		Measurement tangent altitude grid	Measurement tangent altitude grid		support_data											
gold_l2_o2den	dqi			Data Quality Indicator	File-level Data Quality Indicator. 0 indicates good data. See documentation for list of other values		support_data											
gold_l2_o2den	transmission_fit			Converged forward model fit to data.	Converged forward model fit to data - spectrogram for each wavelength		support_data											
gold_l2_o2den	transmission			Input transmission profile	Input transmission profile - spectrogram for each wavelength		support_data											
gold_l2_o2den	o2_apriori	mol/cm^3		A priori O2 density	A priori O2 density		support_data											
gold_l2_o2den	sza_ref	&#176;		Solar Zenith Angle at ZREF	Solar Zenith Angle at ZREF		data											
gold_l2_o2den	transmission_unc			Variance on input transmission data	Variance on input transmission data- spectrogram for each wavelength		support_data											
gold_l2_o2den	target_star			Name of star	Name of star		metadata											
gold_l2_o2den	nevents			nevents	nevents		support_data											
gold_l2_o2den	nzret			nevents	nevents		support_data											
gold_l2_o2den	n_wavelength			nevents	nevents		support_data											
gold_l2_o2den	max_string_len			n_wavelength	n_wavelength		support_data											
gold_l2_o2den	nzdat			max_string_len	max_string_len		support_data											
