ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	Epoch	day-month-year hour:minute:second		Epoch	CDF epoch time for the start of the  six-month measurement period		support_data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	Epoch2	day-month-year hour:minute:second		Epoch2	CDF epoch time for end of the measurement period in a six-month map		support_data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	mapnum			Map Number	Sequential number 1 - 6 for six-month maps from IBEX Data Release 9		data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	latitude_bin	Bin Number		Solar Ecliptic Latitude Bin Number	Solar Ecliptic Latitude Bin Number corresponding to six-degree latitudinal increments of the current IBEX-Lo viewing sector		support_data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	longitude_bin	Bin Number		Solar West Ecliptic Longitude Bin Number	Solar West Ecliptic Longitude Bin Number corresponding to six-degree longitudinal increments of the current IBEX-Lo viewing sector		support_data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	Latitude	&#176;		Solar Ecliptic Latitude	Solar Ecliptic Latitude		support_data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	West_Longitude	&#176;		Solar West Ecliptic Longitude	Solar West Ecliptic Longitude		support_data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	East_Longitude	&#176;		Solar East Ecliptic Longitude	Solar East Ecliptic Longitude		support_data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	orbit1			Starting Orbit Number	Starting Orbit Number of the measurement period		support_data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	orbit2			Ending Orbit Number	Ending Orbit Number of the measurement period		support_data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	Fexp5	s		O ENA Total Exposure Time at Lo Energy Channel 5	O ENA Total Exposure Time at IBEX-Lo Energy Channel 5 ~0.209 keV - mapped		data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	Fexp5_plasma	s		O ENA Total Exposure Time at Lo Energy Channel 5	---&gt; Above as X/Y image		data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	Rsnr5			O ENA Signal/Noise Ratio at Lo Energy Channel 5	O ENA Signal/Noise Ratio at IBEX-Lo Energy Channel 5 ~0.209 keV - mapped		data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	Rsnr5_plasma			O ENA Signal/Noise Ratio at Lo Energy Channel 5	---&gt; Above as X/Y image		data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	Rate5	s^-1		O ENA count rate at Lo Energy Channel 5	O ENA count rate at IBEX-Lo Energy Channel 5 ~0.209 keV - mapped		data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	Rate5_plasma	s^-1		O ENA count rate at Lo Energy Channel 5	---&gt; Above as X/Y image		data											
ibex_h3_ena_lo_r09_park_omap_3yr-even-maps	Rsig5	counts/second		Standard deviation at Lo Energy Channel 5	Standard deviation of count rate at IBEX-Lo Energy Channel 5 ~0.209 keV - mapped		data											
