ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Epoch	day-month-year hour:minute:second		CDF epoch time	CDF epoch time		support_data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	MET	s		GPS time	GPS time		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Julian_Day	d		Julian Day	Julian Day		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	FOY	fractional year		Fraction of Year	Fraction of Year		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Orbit_Number			Orbit Number	Orbit Number		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Lat_Peak	&#176;		Observed Latitude Peak	Observed Latitude Peak		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	U_Lat_Peak	&#176;		Uncertainty in Lat. Peak	Uncertainty in Latitude Peak		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	SC_Lat	&#176;		IBEX S/C Latitude	IBEX S/C Latitude		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	SC_Lon	&#176;		IBEX S/C Longitude	IBEX S/C Longitude		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Spin_Axis_Lat	&#176;		Spin Axis Latitude	Spin Axis Latitude		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Spin_Axis_Lon	&#176;		Spin Axis Longitude	Spin Axis Longitude		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	M_Lat_Peak_220	&#176;		Model Latitude Peak, V inflow=22 km/s	Model Latitude Peak for inflow v=22 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Chi_Square_220	(Model-Peak)^2/(uncertainty)^2		Chi^2 contribution, V inflow=22km/s	Chi-square contribution for inflow speed = 22.0 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	M_Lat_Peak_229	&#176;		Model Lat.Peak, V inflow=22.9km/s	Model Lat.Peak for inflow speed = 22.9km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Chi_Square_229	(Model-Peak)^2/(uncertainty)^2		Chi^2 contribution, V inflow=22.9 km/s	Chi-square contribution for inflow speed 22.9 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	M_Lat_Peak_238	&#176;		Model Lat.Peak, V inflow=23.8km/s	Model Latitude Peak for inflow speed = 23.8km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Chi_Square_238	(Model-Peak)^2/(uncertainty)^2		Chi^2 contribution, V inflow=23.8 km/s	Chi-square contribution, V inflow 23.8 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	M_Lat_Peak_247	&#176;		Model Lat.Peak, V inflow=24.7km/s	Model Lat.Peak, V inflow=24.7km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Chi_Square_247	(Model-Peak)^2/(uncertainty)^2		Chi^2 contribution, V inflow=24.7 km/s	Chi-square contribution for inflow speed = 24.7 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	M_Lat_Peak_256	&#176;		Model Lat.Peak, V inflow=25.6km/s	Model Latitude Peak, V inflow 25.6km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Chi_Square_256	(Model-Peak)^2/(uncertainty)^2		Chi^2 contribution, V inflow=25.6 km/s	Chi-square contribution for inflow speed = 25.6 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	M_Lat_Peak_264	&#176;		Model Latitude Peak, V inflow=6.4 km/s	Model Latitude Peak for inflow speed = 26.4 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Chi_Square_264	(Model-Peak)^2/(uncertainty)^2		Chi^2 contribution, V inflow=26.4 km/s	Chi-square contribution for inflow speed = 26.4 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	M_Lat_Peak_273	&#176;		Model Latitude Peak, V inflow=27.3 km/s	Model Latitude Peak for inflow speed = 27.3 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Chi_Square_273	(Model-Peak)^2/(uncertainty)^2		Chi^2 contribution, V inflow=27.3 km/s	Chi-square contribution for inflow speed = 27.3 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	M_Lat_Peak_282	&#176;		Model Latitude Peak, V inflow=28.2 km/s	Model Latitude Peak for inflow speed = 28.2 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Chi_Square_282	(Model-Peak)^2/(uncertainty)^2		Chi^2 contribution, V inflow=28.2 km/s	Chi-square contribution for inflow speed = 28.2 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	M_Lat_Peak_291	&#176;		Model Latitude Peak, V inflow=29.1 km/s	Model Latitude Peak for inflow speed = 29.1 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Chi_Square_291	(Model-Peak)^2/(uncertainty)^2		Chi^2 contribution, V inflow=29.1 km/s	Chi-square contribution for inflow speed = 29.1 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	M_Lat_Peak_300	&#176;		Model Latitude Peak, V inflow=30.0 km/s	Model Latitude Peak for inflow speed = 30.0 km/s		data											
ibex_h3_ena_lo_r09_schwadron-interstellar-he_1yr	Chi_Square_300	(Model-Peak)^2/(uncertainty)^2		Chi^2 contribution, V inflow=30.0 km/s	Chi-square contribution for inflow speed = 30.0 km/s		data											
