ibex_h3_ena_lo_r11_schwadron-interstellar-o	Epoch	ns		Epoch	CDF epoch time		support_data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Orbit_Number			Orbit Number	Orbit Number		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Good_Time_Number			Number of Goodtime Periods	Number of Goodtime Periods		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Good_Time_Start	s		Good Time Start	Good Time Start, GPS time		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Good_Time_End	s		Good Time End	Good Time End, GPS time		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Good_Time_Start_2	s		Good Time Start	Good Time Start, GPS time 2		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Good_Time_End_2	s		Good Time End	Good Time End, GPS time 2		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Good_Time_Start_3	s		Good Time Start	Good Time Start, GPS time 3		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Good_Time_End_3	s		Good Time End	Good Time End, GPS time 3		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Good_Time_Start_4	s		Good Time Start	Good Time Start, GPS time 4		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Good_Time_End_4	s		Good Time End	Good Time End, GPS time 4		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Good_Time_Start_5	s		Good Time Start	Good Time Start, GPS time 5		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Good_Time_End_5	s		Good Time End	Good Time End, GPS time 5		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Spin_Phase	Phase Angle, Deg		Spin Phase	Spinphase Degree (at center of bin)		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Count_Rate	Counts/Sec		Count Rate	Count Rate (counts/sec)		data											
ibex_h3_ena_lo_r11_schwadron-interstellar-o	Count_Rate_Un	Counts/Sec		Count Rate Uncertainty (counts/sec)	Count Rate Uncertainty (counts/sec)		data											
