ibex_or_ssc	Epoch	ms		Orbit Epoch Time	Time, beginning of interval		support_data											
ibex_or_ssc	RADIUS	Earth radii		RADIUS	Radial distance from the spacecraft to Earth.		data											
ibex_or_ssc	XYZ_GSE	Earth radii		XYZ_GSE	XYZ in GSE coordinates (time-series)		data											
ibex_or_ssc	XYZ_GSEO	Earth radii		XYZ_GSE	XYZ in GSE coordinates (orbit)		data											
ibex_or_ssc	GSE_LAT	&#176;		GSE_LAT	Latitude in GSE Coordinate System		data											
ibex_or_ssc	GSE_LON	&#176;		GSE_LON	Longitude in GSE coordinate system		data											
ibex_or_ssc	GSE_LCT_T	h		GSE_LCT_T	Spacecraft Local Time in GSE coordinates		data											
ibex_or_ssc	XYZ_GSM	Earth radii		XYZ_GSM	XYZ in GSM coordinates (time-series)		data											
ibex_or_ssc	XYZ_GSMO	Earth radii		XYZ_GSM	XYZ in GSM coordinates (orbit)		data											
ibex_or_ssc	GSM_LAT	&#176;		GSM_LAT	Latitude in GSM coordinate system		data											
ibex_or_ssc	GSM_LON	&#176;		GSM_LON	Longitude in GSM coordinate system		data											
ibex_or_ssc	XYZ_SM	Earth radii		XYZ_SM	XYZ in SM coordinates (time-series)		data											
ibex_or_ssc	XYZ_SMO	Earth radii		XYZ_SM	XYZ in SM coordinates (orbit)		data											
ibex_or_ssc	SM_LAT	&#176;		SM_LAT	Latitude in SM coordinate system		data											
ibex_or_ssc	SM_LON	&#176;		SM_LON	Longitude in SM coordinate system		data											
ibex_or_ssc	SM_LCT_T	h		SM_LCT_T	Spacecraft Local Time in SM coordinate system		data											
ibex_or_ssc	XYZ_GEO	Earth radii		XYZ_GEO	XYZ in GEO coordinates (time-series)		data											
ibex_or_ssc	XYZ_GEOO	Earth radii		XYZ_GEO	XYZ in GEO coordinates (orbit)		data											
ibex_or_ssc	GEO_LAT	&#176;		GEO_LAT	Latitude in GEO coordinate system		data											
ibex_or_ssc	GEO_LON	&#176;		GEO_LON	Longitude in GEO coordinate system		data											
ibex_or_ssc	GEO_LCT_T	h		GEO_LCT_T	Spacecraft Local Time in GEO coordinate system		data											
ibex_or_ssc	NorthBtrace_GEO_LAT	&#176;		NorthBtrace_GEO_LAT	Field line trace to the North Geographic Footprint - Latitude		data											
ibex_or_ssc	NorthBtrace_GEO_LON	&#176;		NorthBtrace_GEO_LON	Field line trace to the North Geographic Footprint - Longitude		data											
ibex_or_ssc	NorthBtrace_GEO_ARCLEN	Earth radii		NorthBtrace_GEO_ARCLEN	The arc length of the line from the spacecraft to the north geographic magnetic field footprint		data											
ibex_or_ssc	SouthBtrace_GEO_LAT	&#176;		SouthBtrace_GEO_LAT	Field line trace to the South Geographic Footprint - Latitude		data											
ibex_or_ssc	SouthBtrace_GEO_LON	&#176;		SouthBtrace_GEO_LON	Field line trace to the South Geographic Footprint - Longitude		data											
ibex_or_ssc	SouthBtrace_GEO_ARCLEN	Earth radii		SouthBtrace_GEO_ARCLEN	The arc length of the line from the spacecraft to the south geographic magnetic field footprint		data											
ibex_or_ssc	XYZ_GM	Earth radii		XYZ_GM	XYZ in GM coordinates (time-series)		data											
ibex_or_ssc	XYZ_GMO	Earth radii		XYZ_GM	XYZ in GM coordinates (orbit)		data											
ibex_or_ssc	GM_LAT	&#176;		GM_LAT	Latitude in GM coordinate system		data											
ibex_or_ssc	GM_LON	&#176;		GM_LON	Longitude in GM coordinate system		data											
ibex_or_ssc	GM_LCT_T	h		GM_LCT_T	Spacecraft local time in GM coordinate system		data											
ibex_or_ssc	NorthBtrace_GM_LAT	&#176;		NorthBtrace_GM_LAT	Field line trace to the North Geomagnetic Footprint - Latitude		data											
ibex_or_ssc	NorthBtrace_GM_LON	&#176;		NorthBtrace_GM_LON	Field line trace to the North Geomagnetic Footprint - Longitude		data											
ibex_or_ssc	NorthBtrace_GM_ARCLEN	Earth radii		NorthBtrace_GM_ARCLEN	The arc length of the line from the spacecraft to the north geomagnetic footprint		data											
ibex_or_ssc	SouthBtrace_GM_LAT	&#176;		SouthBtrace_GM_LAT	Field line trace to the South Geomagnetic Footprint - Latitude		data											
ibex_or_ssc	SouthBtrace_GM_LON	&#176;		SouthBtrace_GM_LON	Field line trace to the South Geomagnetic Footprint - Longitude		data											
ibex_or_ssc	SouthBtrace_GM_ARCLEN	Earth radii		SouthBtrace_GM_ARCLEN	The arc length of the line from the spacecraft to the south geomagnetic field footprint		data											
ibex_or_ssc	MAG_STRTH	nT		MAG_STRTH	Magnetic Field Strength		data											
ibex_or_ssc	DNEUTS	Earth radii		Dist from T95 NS	Distance to the Tsyganenko 1995 model Neutral Sheet		data											
ibex_or_ssc	BOW_SHOCK	Earth radii		BOW_SHOCK	Distance from the P93 Bow Shock		data											
ibex_or_ssc	MAG_PAUSE	Earth radii		MAG_PAUSE	Distance from the RS93 Magnetopause		data											
ibex_or_ssc	L_VALUE			L_VALUE	Dipole L value		data											
ibex_or_ssc	INVAR_LAT	&#176;		INVAR_LAT	Dipole Invariant Latitude		data											
ibex_or_ssc	MAG_X	nT		MAG_X	Magnetic Field X_GSE component		data											
ibex_or_ssc	MAG_Y	nT		MAG_Y	Magnetic Field Y_GSE component		data											
ibex_or_ssc	MAG_Z	nT		MAG_Z	Magnetic Field Z_GSE component		data											
ibex_or_ssc	cartesian			Components in Cartesian Coord.	Components in Cartesian Coord.		metadata											
ibex_or_ssc	xyz_lbl			Labels for XYZ.	Labels for XYZ.		metadata											
