psp_fld_l2_tds_wf	epoch	ns		epoch	Corrected UTC time of the start of the collected wave-form burst in TT2000		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1_Engineering_mV	TDS wave-form burst time series for the high-gain V1 sensor (Ch1) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain V2 sensor (Ch2) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V2_Engineering_mV	TDS wave-form burst time series for the high-gain V2 sensor (Ch2) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain V3 sensor (Ch3) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V3_Engineering_mV	TDS wave-form burst time series for the high-gain V3 sensor (Ch3) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain V4 sensor (Ch4) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V4_Engineering_mV	TDS wave-form burst time series for the high-gain V4 sensor (Ch4) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain V5 sensor (Ch5) NOT corrected for frequency response (engineering mV)		ignore_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5_Engineering_mV_f	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V5_Engineering_mV	TDS wave-form burst time series for the high-gain V5 sensor (Ch5) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1V2_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1V2_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain difference of V1-V2 (Ch3) NOT corrected for frequency response (engineering mV)		ignore_data											
