psp_fld_l3_rfs_lfr_qtn	Epoch	ns		Epoch	CDF TT2000 time [ns]		support_data											
psp_fld_l3_rfs_lfr_qtn	N_elec	cm^-3		Electron density	QTN electron density		data											
psp_fld_l3_rfs_lfr_qtn	N_elec_deltalow	cm^-3		Electron density, lower uncertainty	Lower uncertainty associated with QTN electron density		data											
psp_fld_l3_rfs_lfr_qtn	N_elec_deltahigh	cm^-3		Electron density, upper uncertainty	Upper uncertainty associated with QTN electron density		data											
psp_fld_l3_rfs_lfr_qtn	N_elec_dqf			Data quality flag	Array of density data quality indicators		support_data											
psp_fld_l3_rfs_lfr_qtn	Frequency_low	Hz		Frequency Range, Lower Boundary	Lower boundary of the frequency range with the peak		support_data											
psp_fld_l3_rfs_lfr_qtn	Frequency_high	Hz		Frequency Range, Upper Boundary	Upper boundary of the frequency range with the peak		support_data											
psp_fld_l3_rfs_lfr_qtn	N_elec_ch0	cm^-3		Electron density (channel 0)	QTN electron density at channel 0		data											
psp_fld_l3_rfs_lfr_qtn	N_elec_ch0_deltalow	cm^-3		Electron density (channel 0), lower uncertainty	Lower uncertainty associated with QTN electron density at channel 0		data											
psp_fld_l3_rfs_lfr_qtn	N_elec_ch0_deltahigh	cm^-3		Electron density (channel 0), upper uncertainty	Upper uncertainty associated with QTN electron density at channel 0		data											
psp_fld_l3_rfs_lfr_qtn	N_elec_ch1	cm^-3		Electron density (channel 1)	QTN electron density at channel 1		data											
psp_fld_l3_rfs_lfr_qtn	N_elec_ch1_deltalow	cm^-3		Electron density (channel 1), lower uncertainty	Lower uncertainty associated with QTN electron density at channel 1		data											
psp_fld_l3_rfs_lfr_qtn	N_elec_ch1_deltahigh	cm^-3		Electron density (channel 1), upper uncertainty	Upper uncertainty associated with QTN electron density at channel 1		data											
psp_fld_l3_rfs_lfr_qtn	HEEQ_X	Rs		Position in HEEQ coordinates (X-component)	Position vector in HEEQ coordinates (Define Rs = 695700km) (X-component)		data											
psp_fld_l3_rfs_lfr_qtn	HEEQ_Y	Rs		Position in HEEQ coordinates (Y-component)	Position vector in HEEQ coordinates (Define Rs = 695700km) (Y-component)		data											
psp_fld_l3_rfs_lfr_qtn	HEEQ_Z	Rs		Position in HEEQ coordinates (Z-component)	Position vector in HEEQ coordinates (Define Rs = 695700km) (Z-component)		data											
