solo_coho1hr_merged_mag_plasma	Epoch	ms		Time	Time, beginning of interval		support_data											
solo_coho1hr_merged_mag_plasma	radialDistance	ua		Radial Distance	Heliocentric distance		data											
solo_coho1hr_merged_mag_plasma	heliographicLatitude	&#176;		HGI Latitude	HelioGraphic Inertial (HGI) latitude of the spacecraft position		data											
solo_coho1hr_merged_mag_plasma	heliographicLongitude	&#176;		HGI Longitude	HelioGraphic Inertial (HGI) longitude of the spacecraft position		data											
solo_coho1hr_merged_mag_plasma	BR	nT		BR (RTN)	IMF BR in RTN (Radial-Tangential-Normal) coordinate system		data											
solo_coho1hr_merged_mag_plasma	BT	nT		BT (RTN)	IMF BT in RTN coordinate system		data											
solo_coho1hr_merged_mag_plasma	BN	nT		BN (RTN)	IMF BN in RTN coordinate system		data											
solo_coho1hr_merged_mag_plasma	B	nT		B vector	Magnitude, Avg. B field(Vr)		data											
solo_coho1hr_merged_mag_plasma	VR	km/s		VR (RTN)	Proton VR in RTN (Radial-Tangential-Normal) coordinate system		data											
solo_coho1hr_merged_mag_plasma	VT	km/s		VT (RTN)	Proton VT in RTN coordinate system		data											
solo_coho1hr_merged_mag_plasma	VN	km/s		VN (RTN)	Proton VN in RTN coordinate system		data											
solo_coho1hr_merged_mag_plasma	ProtonSpeed	km/s		proton speed	Proton bulk speed		data											
solo_coho1hr_merged_mag_plasma	flow_theta	&#176;		flow theta	Flow elevation angle in RTN coordinate system		data											
solo_coho1hr_merged_mag_plasma	flow_lon	&#176;		flow lon	Flow azimuth angle in RTN coordinate system		data											
solo_coho1hr_merged_mag_plasma	protonDensity	cm^-3		proton density	Proton density		data											
solo_coho1hr_merged_mag_plasma	protonTemp	&#176;K		proton temperature	Proton temperature		data											
