solo_l2_epd-het-south-burst	EPOCH	nanoseconds		Epoch	Nanoseconds since J2000		support_data											
solo_l2_epd-het-south-burst	DELTA_EPOCH	s		Delta epoch	Accumulation period in seconds		support_data											
solo_l2_epd-het-south-burst	EPOCH_1	nanoseconds		Epoch 1	Nanoseconds since J2000		support_data											
solo_l2_epd-het-south-burst	DELTA_EPOCH_1	s		Delta epoch	Accumulation period in seconds		support_data											
solo_l2_epd-het-south-burst	H_Flux	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	H Flux	Hydrogen flux		data											
solo_l2_epd-het-south-burst	H_Uncertainty	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	H Flux Uncertainty	Uncertainty in hydrogen flux		support_data											
solo_l2_epd-het-south-burst	H_Rate	counts / s		H Count Rate	Hydrogen count rate		support_data											
solo_l2_epd-het-south-burst	H_Bins_Low_Energy	MeV	1.602e-13&gt;J	H Bins Low Energy	Lowest energy of each bin for hydrogen flux		support_data											
solo_l2_epd-het-south-burst	H_Bins_Width	MeV	1.602e-13&gt;J	H Bins Width	Width of each energy bin for hydrogen flux		support_data											
solo_l2_epd-het-south-burst	H_Bins_Text			H Bins Text	Text description of each energy bin for hydrogen flux		metadata											
solo_l2_epd-het-south-burst	Electron_Flux	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Electron Flux	Electron flux		data											
solo_l2_epd-het-south-burst	Electron_Uncertainty	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Electron Flux Uncertainty	Uncertainty in electron flux		support_data											
solo_l2_epd-het-south-burst	Electron_Rate	counts / s		Electron Count Rate	Electron count rate		support_data											
solo_l2_epd-het-south-burst	Electron_Bins_Low_Energy	MeV	1.602e-13&gt;J	Electron Bins Low Energy	Lowest energy of each bin for electron flux		support_data											
solo_l2_epd-het-south-burst	Electron_Bins_Width	MeV	1.602e-13&gt;J	Electron Bins Width	Width of each energy bin for electron flux		support_data											
solo_l2_epd-het-south-burst	Electron_Bins_Text			Electron Bins Text	Text description of each energy bin for electron flux		metadata											
solo_l2_epd-het-south-burst	He3_Flux	particles / (s cm^2 sr MeV/n)	6.2415e16&gt;particles/(s m^2 sr J)	He3 Flux	Helium-3 flux		data											
solo_l2_epd-het-south-burst	He3_Uncertainty	particles / (s cm^2 sr MeV/n)	6.2415e16&gt;particles/(s m^2 sr J)	He3 Flux Uncertainty	Uncertainty in helium-3 flux		support_data											
solo_l2_epd-het-south-burst	He3_Rate	counts / s		He3 Count Rate	Helium-3 count rate		support_data											
solo_l2_epd-het-south-burst	He3_Bins_Low_Energy	MeV/n	1.602e-13&gt;J	He3 Bins Low Energy	Lowest energy of each bin for helium-3 flux		support_data											
solo_l2_epd-het-south-burst	He3_Bins_Width	MeV/n	1.602e-13&gt;J	He3 Bins Width	Width of each energy bin for helium-3 flux		support_data											
solo_l2_epd-het-south-burst	He3_Bins_Text			He3 Bins Text	Text description of each energy bin for helium-3 flux		metadata											
solo_l2_epd-het-south-burst	He4_Flux	particles / (s cm^2 sr MeV/n)	6.2415e16&gt;particles/(s m^2 sr J)	He4 Flux	Helium-4 flux		data											
solo_l2_epd-het-south-burst	He4_Uncertainty	particles / (s cm^2 sr MeV/n)	6.2415e16&gt;particles/(s m^2 sr J)	He4 Flux Uncertainty	Uncertainty in helium-4 flux		support_data											
solo_l2_epd-het-south-burst	He4_Rate	counts / s		He4 Count Rate	Helium-4 count rate		support_data											
solo_l2_epd-het-south-burst	He4_Bins_Low_Energy	MeV/n	1.602e-13&gt;J	He4 Bins Low Energy	Lowest energy of each bin for helium-4 flux		support_data											
solo_l2_epd-het-south-burst	He4_Bins_Width	MeV/n	1.602e-13&gt;J	He4 Bins Width	Width of each energy bin for helium-4 flux		support_data											
solo_l2_epd-het-south-burst	He4_Bins_Text			He4 Bins Text	Text description of each energy bin for helium-4 flux		metadata											
solo_l2_epd-het-south-burst	QUALITY_FLAG			Quality flag	Data quality flag		support_data											
solo_l2_epd-het-south-burst	QUALITY_BITMASK			Quality bitmask	Computer readable quality parameter		support_data											
solo_l2_epd-het-south-burst	QUALITY_FLAG_1			Quality flag 1	Data quality flag		support_data											
solo_l2_epd-het-south-burst	QUALITY_BITMASK_1			Quality bitmask 1	Computer readable quality parameter		support_data											
