solo_l2_epd-step-rates	EPOCH	nanoseconds		Epoch	Nanoseconds since J2000		support_data											
solo_l2_epd-step-rates	DELTA_EPOCH	s		Delta epoch	Accumulation period in seconds		support_data											
solo_l2_epd-step-rates	Magnet_Flux	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Magnet Flux	Sector averaged magnet channel flux		data											
solo_l2_epd-step-rates	Magnet_Uncertainty	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Magnet Flux Uncertainty	Uncertainty in sector averaged magnet channel flux		support_data											
solo_l2_epd-step-rates	Magnet_Rate	counts / s		Magnet Count Rate	Sector averaged magnet channel count rate		support_data											
solo_l2_epd-step-rates	Integral_Flux	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Integral Flux	Sector averaged integral channel flux		data											
solo_l2_epd-step-rates	Integral_Uncertainty	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Integral Flux Uncertainty	Uncertainty in sector averaged integral channel flux		support_data											
solo_l2_epd-step-rates	Integral_Rate	counts / s		Integral Count Rate	Sector averaged integral channel count rate		support_data											
solo_l2_epd-step-rates	Bins_Low_Energy	MeV	1.602e-13&gt;J	Bins Low Energy	Lowest energy of each bin for sector averaged flux		support_data											
solo_l2_epd-step-rates	Bins_Width	MeV	1.602e-13&gt;J	Bins Width	Width of each energy bin for sector averaged flux		support_data											
solo_l2_epd-step-rates	Bins_Text			Bins Text	Text description of each energy bin for sector averaged flux		metadata											
solo_l2_epd-step-rates	EPOCH_1	nanoseconds		Epoch 1	Nanoseconds since J2000		support_data											
solo_l2_epd-step-rates	RTN			Flow direction RTN	Particle flow direction (unit vector) in RTN coordinates		support_data											
solo_l2_epd-step-rates	XYZ			Flow direction XYZ	Particle flow direction (unit vector) in spacecraft XYZ coordinates		support_data											
solo_l2_epd-step-rates	Sector_Magnet_Flux	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Sector Magnet Flux	Sectored magnet channel flux		data											
solo_l2_epd-step-rates	Sector_Magnet_Uncertainty	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Sector Magnet Flux Uncertainty	Uncertainty in sectored magnet channel flux		support_data											
solo_l2_epd-step-rates	Sector_Magnet_Rate	counts / s		Sector Magnet Count Rate	Sectored magnet channel count rate		support_data											
solo_l2_epd-step-rates	Sector_Integral_Flux	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Sector Integral Flux	Sectored integral channel flux		data											
solo_l2_epd-step-rates	Sector_Integral_Uncertainty	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Sector Integral Flux Uncert.	Uncertainty in sectored integral channel flux		support_data											
solo_l2_epd-step-rates	Sector_Integral_Rate	counts / s		Sector Integral Count Rate	Sectored integral channel count rate		support_data											
solo_l2_epd-step-rates	Sector_Bins_Low_Energy	MeV	1.602e-13&gt;J	Sector Bins Low Energy	Lowest energy of each bin for sectored flux		support_data											
solo_l2_epd-step-rates	Sector_Bins_Width	MeV	1.602e-13&gt;J	Sector Bins Width	Width of each energy bin for sectored flux		support_data											
solo_l2_epd-step-rates	Sector_Bins_Text			Sector Bins Text	Text description of each energy bin for sectored flux		metadata											
solo_l2_epd-step-rates	Sectors			Sectors	Sectors		support_data											
solo_l2_epd-step-rates	Sector_Names			Sector names	Sector names		metadata											
solo_l2_epd-step-rates	RTN_Sectors			Sectors Flow direction RTN	Particle flow direction (unit vector) in RTN coordinates		support_data											
solo_l2_epd-step-rates	XYZ_Sectors			Sectors Flow direction XYZ	Particle flow direction (unit vector) in spacecraft XYZ coordinates		support_data											
solo_l2_epd-step-rates	EPOCH_2	nanoseconds		Epoch 2	Nanoseconds since J2000		support_data											
solo_l2_epd-step-rates	HCI_R	ua	1.495978E11&gt;m	S/C Radial Distance	Spacecraft radial distance from the Sun		support_data											
solo_l2_epd-step-rates	HCI_Lat	&#176;		S/C Latitude	Spacecraft heliocentric latitude (HCI)		support_data											
solo_l2_epd-step-rates	HCI_Lon	&#176;		S/C Longitude	Spacecraft heliocentric longitude (HCI)		support_data											
solo_l2_epd-step-rates	QUALITY_FLAG			Quality flag	Data quality flag		support_data											
solo_l2_epd-step-rates	QUALITY_BITMASK			Quality bitmask	Computer readable quality parameter		support_data											
solo_l2_epd-step-rates	RTN_Labels			RTN Labels	Labels for vector components in RTN coordinates		metadata											
solo_l2_epd-step-rates	XYZ_Labels			Spacecraft XYZ Labels	Labels for vector components in spacecraft XYZ coordinates		metadata											
