solo_l2_swa-pas-vdf	Epoch	ns	1.0E-9&gt;s	Epoch	Epoch encoded as Terrestrial Time on rotating Earth geoid, ns since J2000		support_data											
solo_l2_swa-pas-vdf	Half_interval	s	1.0s	Half_interval	Acquisition period half interval		support_data											
solo_l2_swa-pas-vdf	SCET	Ticks		SCET	Elapsed time on the onboard clock		support_data											
solo_l2_swa-pas-vdf	Info			Info	Info 0:Ground 1:Normal 2:Snapshot 3:Burst 4:Engineering 5:Calib		support_data											
solo_l2_swa-pas-vdf	unrecovered_count			unrecoverd_count	Total counter of unrecovered bins		data											
solo_l2_swa-pas-vdf	total_count			total_count	Total count		data											
solo_l2_swa-pas-vdf	quality_factor			quality_factor	Quality factor		data											
solo_l2_swa-pas-vdf	start_energy			start_energy	Start energy bin		support_data											
solo_l2_swa-pas-vdf	nb_energy			nb_energy	Number energy bins		support_data											
solo_l2_swa-pas-vdf	start_elevation			start_elevation	Start elevation bin		support_data											
solo_l2_swa-pas-vdf	nb_elevation			nb_elevation	Number elevation bins		support_data											
solo_l2_swa-pas-vdf	start_CEM			start_CEM	Start CEM (channel electron multiplier)		support_data											
solo_l2_swa-pas-vdf	nb_CEM			nb_CEM	Number CEM		support_data											
solo_l2_swa-pas-vdf	nb_K			nb_K	Number of sub-samping per second		support_data											
solo_l2_swa-pas-vdf	K			K	Current sub-sampling		support_data											
solo_l2_swa-pas-vdf	PAS_to_RTN			PAS_to_RTN	PAS to RTN coordinate transformation matrix		support_data											
solo_l2_swa-pas-vdf	vdf	s^3 m^-6		vdf	Distribution function: [Azimuth vs Energy] at elevation 1		data											
solo_l2_swa-pas-vdf	vdf_mv	s^3 m^-6		vdf	---&gt; Movie of above		data											
solo_l2_swa-pas-vdf	vdf_spec	s^3 m^-6		vdf	---&gt; Spectrograms at selected azimuths 1,3,5,7,9,11		data											
solo_l2_swa-pas-vdf	vdf2	s^3 m^-6		vdf	Distribution function: [Azimuth vs Energy] at elevation 2		data											
