solo_l3_swa-his-comp-10min	EPOCH	ns	1.0E-9&gt;Second	EPOCH	Default time		support_data											
solo_l3_swa-his-comp-10min	ACCUM_SECONDS	s	1.0&gt;Second	ACCUM_SECONDS	Accumulation time		support_data											
solo_l3_swa-his-comp-10min	QUALITY_FLAG			QUALITY_FLAG	Quality flag		support_data											
solo_l3_swa-his-comp-10min	QUALITY_BITMASK			QUALITY_BITMASK	Quality bitmask		support_data											
solo_l3_swa-his-comp-10min	AZIMUTH_SOURCE			AZIMUTH_SOURCE	Azimuth source		support_data											
solo_l3_swa-his-comp-10min	SW_TYPE			SW_TYPE	Solar wind type		support_data											
solo_l3_swa-his-comp-10min	NUMBER_OF_SCANS			NUMBER_OF_SCANS	Number of scans		support_data											
solo_l3_swa-his-comp-10min	HE2_DENS	cm^-3	1.0E-6&gt;1/Meter^3	HE2_DENS	He++ density		data											
solo_l3_swa-his-comp-10min	HE2_DENS_ERR	cm^-3	1.0E-6&gt;1/Meter^3	HE2_DENS_ERR	He++ density error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	HE2_DENS_QF			HE2_DENS_QF	He++ density quality flag		support_data											
solo_l3_swa-his-comp-10min	HE2_TH_SPEED	km/s	1.0E-3&gt;m/s	HE2_TH_SPEED	He++ thermal speed		data											
solo_l3_swa-his-comp-10min	HE2_TH_SPEED_ERR	km/s	1.0E-3&gt;m/s	HE2_TH_SPEED_ERR	He++ thermal speed error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	HE2_TH_SPEED_QF			HE2_TH_SPEED_QF	He++ thermal speed quality flag		support_data											
solo_l3_swa-his-comp-10min	HE2_SPEED	km/s	1.0E-3&gt;m/s	HE2_SPEED	He++ speed		data											
solo_l3_swa-his-comp-10min	HE2_SPEED_ERR	km/s	1.0E-3&gt;m/s	HE2_SPEED_ERR	He++ speed error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	HE2_SPEED_QF			HE2_SPEED_QF	He++ speed quality flag		support_data											
solo_l3_swa-his-comp-10min	C5_DENS	cm^-3	1.0E-6&gt;1/Meter^3	C5_DENS	Carbon 5 density		data											
solo_l3_swa-his-comp-10min	C5_DENS_ERR	cm^-3	1.0E-6&gt;1/Meter^3	C5_DENS_ERR	Carbon 5 density error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	C5_DENS_QF			C5_DENS_QF	Carbon 5 density quality flag		support_data											
solo_l3_swa-his-comp-10min	C5_TH_SPEED	km/s	1.0E-3&gt;m/s	C5_TH_SPEED	Carbon 5 thermal speed		data											
solo_l3_swa-his-comp-10min	C5_TH_SPEED_ERR	km/s	1.0E-3&gt;m/s	C5_TH_SPEED_ERR	Carbon 5 thermal speed error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	C5_TH_SPEED_QF			C5_TH_SPEED_QF	Carbot 5 thermal speed quality flag		support_data											
solo_l3_swa-his-comp-10min	C5_SPEED	km/s	1.0E-3&gt;m/s	C5_SPEED	Carbon 5 speed		data											
solo_l3_swa-his-comp-10min	C5_SPEED_ERR	km/s	1.0E-3&gt;m/s	C5_SPEED_ERR	Carbon 5 speed error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	C5_SPEED_QF			C5_SPEED_QF	Carbon 5 speed quality flag		support_data											
solo_l3_swa-his-comp-10min	O6_DENS	cm^-3	1.0E-6&gt;1/Meter^3	O6_DENS	Oxygen 6 density		data											
solo_l3_swa-his-comp-10min	O6_DENS_ERR	cm^-3	1.0E-6&gt;1/Meter^3	O6_DENS_ERR	Oxygen 6 density error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	O6_DENS_QF			O6_DENS_QF	Oxygen 6 density quality flag		support_data											
solo_l3_swa-his-comp-10min	O6_TH_SPEED	km/s	1.0E-3&gt;m/s	O6_TH_SPEED	Oxygen 6 thermal speed		data											
solo_l3_swa-his-comp-10min	O6_TH_SPEED_ERR	km/s	1.0E-3&gt;m/s	O6_TH_SPEED_ERR	Oxygen 6 thermal speed error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	O6_TH_SPEED_QF			O6_TH_SPEED_QF	Oxygen 6 thermal speed quality flag		support_data											
solo_l3_swa-his-comp-10min	O6_SPEED	km/s	1.0E-3&gt;m/s	O6_SPEED	Oxygen 6 speed		data											
