tss-1r_m1_csea	Epoch	ns	1.0e-9&gt;s	Time Line	Start Time for the record		support_data											
tss-1r_m1_csea	Epoch_Start	ns	1.0e-9&gt;s	Time Resolution	Start time = Epoch - value		support_data											
tss-1r_m1_csea	Epoch_End	ns	1.0e-9&gt;s	Time Resolution	End time = Epoch + value		support_data											
tss-1r_m1_csea	M_FUS_LT_BL_T_650_1_telemetry_unitless		na	M-FUS LT BL T@650	M-FUS LT BL Temperature at 650		data											
tss-1r_m1_csea	M_FUS_LT_BL_T_650_2_T_degrees_F	degrees F	na	M-FUS LT BL T@650	M-FUS LT BL Temperature at 650		data											
tss-1r_m1_csea	M_FUS_LT_BL_T_650_3_T_degrees_C	degrees C	na	M-FUS LT BL T@650	M-FUS LT BL Temperature at 650		data											
tss-1r_m1_csea	Data_Quality_M_FUS_LT_BL_T_650		na	Data_Quality_M_FUS_LT_BL_T_650	Data Quality Indicator for M-FUS LT BL T@650		data											
tss-1r_m1_csea	M_FUS_RT_BL_T_650_1_telemetry_unitless		na	M-FUS RT BL T@650	M-FUS RT BL Temperature at 650		data											
tss-1r_m1_csea	M_FUS_RT_BL_T_650_2_T_degrees_F	degrees F	na	M-FUS RT BL T@650	M-FUS RT BL Temperature at 650		data											
tss-1r_m1_csea	M_FUS_RT_BL_T_650_3_T_degrees_C	degrees C	na	M-FUS RT BL T@650	M-FUS RT BL Temperature at 650		data											
tss-1r_m1_csea	Data_Quality_M_FUS_RT_BL_T_650		na	Data_Quality_M_FUS_RT_BL_T_650	Data Quality Indicator for M-FUS RT BL T@650		data											
tss-1r_m1_csea	M_FUS_LT_BL_T_1215_1_telemetry_unitless		na	M-FUS LT BL T@1215	M-FUS LT BL Temperature at 1215		data											
tss-1r_m1_csea	M_FUS_LT_BL_T_1215_2_T_degrees_F	degrees F	na	M-FUS LT BL T@1215	M-FUS LT BL Temperature at 1215		data											
