tss-1r_m1_dpmj	Epoch	ns	1.0e-9&gt;s	Time Line	Start Time for the record		support_data											
tss-1r_m1_dpmj	Epoch_Start	ns	1.0e-9&gt;s	Time Resolution	Start time = Epoch - value		support_data											
tss-1r_m1_dpmj	Epoch_End	ns	1.0e-9&gt;s	Time Resolution	End time = Epoch + value		support_data											
tss-1r_m1_dpmj	Meas_DEL_L_Cir1_1_telemetry_unitless		na	Meas DEL-L Cir1	Measured DEL-L Circuit 1		data											
tss-1r_m1_dpmj	Meas_DEL_L_Cir1_2_Length_meters	m	na	Meas DEL-L Cir1	Measured DEL-L Circuit 1		data											
tss-1r_m1_dpmj	Meas_DEL_L_Cir1_3_Length_km	km	na	Meas DEL-L Cir1	Measured DEL-L Circuit 1		data											
tss-1r_m1_dpmj	Data_Quality_Meas_DEL_L_Cir1		na	Data_Quality_Meas_DEL_L_Cir1	Data Quality Indicator for Meas DEL-L Cir1		data											
tss-1r_m1_dpmj	Meas_DEL_L_Cir2_1_telemetry_unitless		na	Meas DEL-L Cir2	Measured DEL-L Circuit 2		data											
tss-1r_m1_dpmj	Meas_DEL_L_Cir2_2_Length_meters	m	na	Meas DEL-L Cir2	Measured DEL-L Circuit 2		data											
tss-1r_m1_dpmj	Meas_DEL_L_Cir2_3_Length_km	km	na	Meas DEL-L Cir2	Measured DEL-L Circuit 2		data											
tss-1r_m1_dpmj	Data_Quality_Meas_DEL_L_Cir2		na	Data_Quality_Meas_DEL_L_Cir2	Data Quality Indicator for Meas DEL-L Cir2		data											
