tss-1r_m1_rtmd	Epoch	ns	1.0e-9&gt;s	Time Line	Start Time for the record		support_data											
tss-1r_m1_rtmd	Epoch_Start	ns	1.0e-9&gt;s	Time Resolution	Start time = Epoch - value		support_data											
tss-1r_m1_rtmd	Epoch_End	ns	1.0e-9&gt;s	Time Resolution	End time = Epoch + value		support_data											
tss-1r_m1_rtmd	Center_Scan	kHz	na	Center Scan Values	Center Scan Values for the data returned.		support_data											
tss-1r_m1_rtmd	Band_Low_Scan	kHz	na	Band Low Scan Values	low Scan = Center_Scan - value		support_data											
tss-1r_m1_rtmd	Band_High_Scan	kHz	na	Band High Scan Values	high Scan = Center_Scan + value		support_data											
tss-1r_m1_rtmd	Ex__Input_1_1_Telemetry_Dimensionless	Dimensionless	na	Ex: Input 1	Ex: Input 1		data											
tss-1r_m1_rtmd	Ex__Input_1_2_Pwr_uV__2	uV**2	na	Ex: Input 1	Ex: Input 1		data											
tss-1r_m1_rtmd	Ex__Input_1_3_PwDen_uV__2_Hz	uV**2/Hz	na	Ex: Input 1	Ex: Input 1		data											
tss-1r_m1_rtmd	Ex__Input_1_4_PwDen_uV__2_Hz	uV**2/Hz	na	Ex: Input 1	Ex: Input 1		data											
tss-1r_m1_rtmd	Ex__Input_1_5_Power_Den_uV__2_Hz	uV**2/Hz	na	Ex: Input 1	Ex: Input 1		data											
tss-1r_m1_rtmd	Automatic_Gain_Correction__Input_1_Ex__Input_1_CAL	Dimensionless	na	Input 1: AutoMatic Gain Correc	Input 1: AutoMatic Gain Correction for Ex: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Setting__Input_1_Ex__Input_1_CAL	Dimensionless	na	Input 1: Attenuation sensor 0	Input 1: Attenuation for Ex: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Source__Input_1_Ex__Input_1_CAL	Dimensionless	na	Input 1: Attenuation Source se	Input 1: Attenuation Source for Ex: Input 1		data											
tss-1r_m1_rtmd	Automatic_Gain_Correction__Input_2_Ex__Input_1_CAL	Dimensionless	na	Input 2: AutoMatic Gain Correc	Input 2: AutoMatic Gain Correction for Ex: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Setting__Input_2_Ex__Input_1_CAL	Dimensionless	na	Input 2: Attenuation sensor 0	Input 2: Attenuation for Ex: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Source__Input_2_Ex__Input_1_CAL	Dimensionless	na	Input 2: Attenuation Source se	Input 2: Attenuation Source for Ex: Input 1		data											
tss-1r_m1_rtmd	Ey__Input_1_1_Telemetry_Dimensionless	Dimensionless	na	Ey: Input 1	Ey: Input 1		data											
tss-1r_m1_rtmd	Ey__Input_1_2_Pwr_uV__2	uV**2	na	Ey: Input 1	Ey: Input 1		data											
tss-1r_m1_rtmd	Ey__Input_1_3_PwDen_uV__2_Hz	uV**2/Hz	na	Ey: Input 1	Ey: Input 1		data											
tss-1r_m1_rtmd	Ey__Input_1_4_PwDen_uV__2_Hz	uV**2/Hz	na	Ey: Input 1	Ey: Input 1		data											
tss-1r_m1_rtmd	Ey__Input_1_5_Power_Den_uV__2_Hz	uV**2/Hz	na	Ey: Input 1	Ey: Input 1		data											
tss-1r_m1_rtmd	Automatic_Gain_Correction__Input_1_Ey__Input_1_CAL	Dimensionless	na	Input 1: AutoMatic Gain Correc	Input 1: AutoMatic Gain Correction for Ey: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Setting__Input_1_Ey__Input_1_CAL	Dimensionless	na	Input 1: Attenuation sensor 1	Input 1: Attenuation for Ey: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Source__Input_1_Ey__Input_1_CAL	Dimensionless	na	Input 1: Attenuation Source se	Input 1: Attenuation Source for Ey: Input 1		data											
tss-1r_m1_rtmd	Automatic_Gain_Correction__Input_2_Ey__Input_1_CAL	Dimensionless	na	Input 2: AutoMatic Gain Correc	Input 2: AutoMatic Gain Correction for Ey: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Setting__Input_2_Ey__Input_1_CAL	Dimensionless	na	Input 2: Attenuation sensor 1	Input 2: Attenuation for Ey: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Source__Input_2_Ey__Input_1_CAL	Dimensionless	na	Input 2: Attenuation Source se	Input 2: Attenuation Source for Ey: Input 1		data											
tss-1r_m1_rtmd	Ez__Input_1_1_Telemetry_Dimensionless	Dimensionless	na	Ez: Input 1	Ez: Input 1		data											
tss-1r_m1_rtmd	Ez__Input_1_2_Pwr_uV__2	uV**2	na	Ez: Input 1	Ez: Input 1		data											
tss-1r_m1_rtmd	Ez__Input_1_3_PwDen_uV__2_Hz	uV**2/Hz	na	Ez: Input 1	Ez: Input 1		data											
tss-1r_m1_rtmd	Ez__Input_1_4_PwDen_uV__2_Hz	uV**2/Hz	na	Ez: Input 1	Ez: Input 1		data											
tss-1r_m1_rtmd	Ez__Input_1_5_Power_Den_uV__2_Hz	uV**2/Hz	na	Ez: Input 1	Ez: Input 1		data											
tss-1r_m1_rtmd	Automatic_Gain_Correction__Input_1_Ez__Input_1_CAL	Dimensionless	na	Input 1: AutoMatic Gain Correc	Input 1: AutoMatic Gain Correction for Ez: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Setting__Input_1_Ez__Input_1_CAL	Dimensionless	na	Input 1: Attenuation sensor 2	Input 1: Attenuation for Ez: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Source__Input_1_Ez__Input_1_CAL	Dimensionless	na	Input 1: Attenuation Source se	Input 1: Attenuation Source for Ez: Input 1		data											
tss-1r_m1_rtmd	Automatic_Gain_Correction__Input_2_Ez__Input_1_CAL	Dimensionless	na	Input 2: AutoMatic Gain Correc	Input 2: AutoMatic Gain Correction for Ez: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Setting__Input_2_Ez__Input_1_CAL	Dimensionless	na	Input 2: Attenuation sensor 2	Input 2: Attenuation for Ez: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Source__Input_2_Ez__Input_1_CAL	Dimensionless	na	Input 2: Attenuation Source se	Input 2: Attenuation Source for Ez: Input 1		data											
tss-1r_m1_rtmd	Bx__Input_1_1_Telemetry_Dimensionless	Dimensionless	na	Bx: Input 1	Bx: Input 1		data											
tss-1r_m1_rtmd	Bx__Input_1_2_Pwr_uV__2	uV**2	na	Bx: Input 1	Bx: Input 1		data											
tss-1r_m1_rtmd	Bx__Input_1_3_PwDen_uV__2_Hz	uV**2/Hz	na	Bx: Input 1	Bx: Input 1		data											
tss-1r_m1_rtmd	Bx__Input_1_4_PwDen_uV__2_Hz	uV**2/Hz	na	Bx: Input 1	Bx: Input 1		data											
tss-1r_m1_rtmd	Bx__Input_1_5_Power_Den_uV__2_Hz	uV**2/Hz	na	Bx: Input 1	Bx: Input 1		data											
tss-1r_m1_rtmd	Automatic_Gain_Correction__Input_1_Bx__Input_1_CAL	Dimensionless	na	Input 1: AutoMatic Gain Correc	Input 1: AutoMatic Gain Correction for Bx: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Setting__Input_1_Bx__Input_1_CAL	Dimensionless	na	Input 1: Attenuation sensor 3	Input 1: Attenuation for Bx: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Source__Input_1_Bx__Input_1_CAL	Dimensionless	na	Input 1: Attenuation Source se	Input 1: Attenuation Source for Bx: Input 1		data											
tss-1r_m1_rtmd	Automatic_Gain_Correction__Input_2_Bx__Input_1_CAL	Dimensionless	na	Input 2: AutoMatic Gain Correc	Input 2: AutoMatic Gain Correction for Bx: Input 1		data											
tss-1r_m1_rtmd	Attenuation_Setting__Input_2_Bx__Input_1_CAL	Dimensionless	na	Input 2: Attenuation sensor 3	Input 2: Attenuation for Bx: Input 1		data											
