voyager2_pls_hires_plasma_data_hsh	Epoch	ms		Epoch	Default time		support_data											
voyager2_pls_hires_plasma_data_hsh	chi2			chi^2	chi-square value of fit		data											
voyager2_pls_hires_plasma_data_hsh	V_rtn	km/s		V_rtn	velocity vector in RTN coordinates		data											
voyager2_pls_hires_plasma_data_hsh	V_rtn_labl			V_rtn_labl	V_rtn_labl		metadata											
voyager2_pls_hires_plasma_data_hsh	xV_rtn	km/s		xV_rtn	1-sigma uncertainty of velocity vector		data											
voyager2_pls_hires_plasma_data_hsh	xV_rtn_labl			xV_rtn_labl	xV_rtn_labl		metadata											
voyager2_pls_hires_plasma_data_hsh	V	km/s		V	proton bulk velocity		data											
voyager2_pls_hires_plasma_data_hsh	dens	cm^-3		density	density		data											
voyager2_pls_hires_plasma_data_hsh	xdens	cm^-3		x(density)	1-sigma uncertainty of density		data											
voyager2_pls_hires_plasma_data_hsh	w	km/s		w	Thermal speed w		data											
voyager2_pls_hires_plasma_data_hsh	xw	km/s		x(w)	1-sigma uncertainty of thermal speed		data											
voyager2_pls_hires_plasma_data_hsh	T	eV		T	proton temperature		data											
voyager2_pls_hires_plasma_data_hsh	xT	eV		x(T)	1-sigma uncertainty of proton temperature		data											
