c1_cp_rap_i3dm_he	Time_tags__C1_CP_RAP_I3DM_He	ms	1.0e-3&gt;s	Universal Time	Interval centered time tag		support_data											
c1_cp_rap_i3dm_he	Time_half_interval__C1_CP_RAP_I3DM_He	s	1.0&gt;s	Time half interval	Time half interval		support_data											
c1_cp_rap_i3dm_he	Rec_Key__C1_CP_RAP_I3DM_He		1&gt;unitless	3D ion record key	Key for merged ion distributions: number of records merged		support_data											
c1_cp_rap_i3dm_he	Helium_Dif_flux_3DM__C1_CP_RAP_I3DM_He	Particles/(cm^2 s sr keV)	6.242E+19&gt;(particles) m^-2 s^-1 sr^-1 J^-1	Helium Differential Flux	Helium Differential Flux		data											
c1_cp_rap_i3dm_he	Helium_Dif_flux_3DM_SD__C1_CP_RAP_I3DM_He	Particles/(cm^2 s sr keV)	6.242E+19&gt;(particles) m^-2 s^-1 sr^-1 J^-1	Std. Dev. Helium Differential Flux	Standard Deviation of Helium Differential Flux		data											
c1_cp_rap_i3dm_he	Dimension_E__C1_CP_RAP_I3DM_He	keV	1.609E-16&gt;J	Helium energy thresholds	Energy channels		support_data											
c1_cp_rap_i3dm_he	Dimension_Az__C1_CP_RAP_I3DM_He	&#176;	0.01745&gt;rad	Azimuthal angle	16 Azimuthal sectors of RAPID		support_data											
c1_cp_rap_i3dm_he	Dimension_Pol__C1_CP_RAP_I3DM_He	&#176;	0.01745&gt;rad	Polar angle	12 Polar directions of IIMS		support_data											
c1_cp_rap_i3dm_he	Quality__C1_CP_RAP_I3DM_He		1&gt;unitless	Data quality flag	Data quality flag		support_data											
c1_cp_rap_i3dm_he	DELTA_PLUS_Dimension_E__C1_CP_RAP_I3DM_He	keV		DELTA_PLUS_Dimension_E__C1_CP_RAP_I3DM_He	DELTA_PLUS_Dimension_E__C1_CP_RAP_I3DM_He		support_data											
c1_cp_rap_i3dm_he	Metadata_Dimension_E__C1_CP_RAP_I3DM_He			Metadata_Dimension_E__C1_CP_RAP_I3DM_He	Metadata_Dimension_E__C1_CP_RAP_I3DM_He		metadata											
