Data Product ID/Product Key	SPASE Resource ID Stub	DOI, full URL Format	Publication Date	Publisher	Authors
	GBO/NumericalData/MACCS/MAG/PT0.5S	https://doi.org/10.48322/sydj-ab90	2011-01-01T00:00:00	Augsburg University	Engebretson, Mark J.; Steinmetz, Erik; &amp; Moldwin, Mark
	GBO/NumericalData/MACCS/MAG/PT5.0S	https://doi.org/10.48322/t37w-as51	1992-08-10T00:00:00	Augsburg University	Engebretson, Mark J.; Steinmetz, Erik; &amp; Moldwin, Mark
	GBO/NumericalData/NAE/Magnetometer/PT60S	https://doi.org/10.21978/p8m33j	2006-01-01T00:00:00	University of California, Los Angeles	Weygand, James M.; &amp; Zesta, Eftyhia
	GBO/NumericalData/SAE/Magnetometer/PT60S	https://doi.org/10.21978/p8534w	2006-01-01T00:00:00	University of California, Los Angeles	Weygand, James M.; &amp; McPherron, Robert L.
	GBO/NumericalData/SECS/Magnetometer/EICS/PT10S	https://doi.org/10.21978/p8d62b	2009-01-01T00:00:00	University of California, Los Angeles	Weygand, James M.
	GBO/NumericalData/SECS/Magnetometer/SECS/PT10S	https://doi.org/10.21978/p8pp8x	2009-01-01T00:00:00	University of California, Los Angeles	Weygand, James M.
	ISWI/NumericalData/AWESOME/LF/PT0.000001S	https://doi.org/10.48322/fwte-dv13	2020-01-01T00:00:00	Worldwide Archive of Low frequency Data and Observations (WALDO)	Cohen, Morris B.
	ISWI/NumericalData/AWESOME/VLF/PT0.00001S	https://doi.org/10.48322/fzcf-f191	2020-01-01T00:00:00	Worldwide Archive of Low frequency Data and Observations (WALDO)	Inan, Umran S.; Cohen, Morris B.; &amp; Golkowski, Mark A.
	ISWI/NumericalData/AWESOME/VLF/PT0.02S	https://doi.org/10.48322/6t7b-s324	2020-01-01T00:00:00	Worldwide Archive of Low frequency Data and Observations (WALDO)	Cohen, Morris B.; Inan, Umran S.; &amp; Golkowski, Mark A.
	NASA/Catalog/STEREO/SEP.List	https://doi.org/10.48322/nbrg-kw23	2020-01-01T00:00:00	STEREO Science Center at the NASA Solar Data Analysis Center	Jian, Lan
