a1	LANL2001
a2_k0_mpa	LANL2002
a2_av_wnk	Winkfield
ac	ACE
alouette1	Alouette1
alouette2	Alouette2
ampte-cce	AMPTE_CCE
apollo11	Apollo11
apollo12	Apollo12
apollo14	Apollo14 apollo14-lm
apollo15	Apollo15

bepicolombo	BepiColombo

borrelly	CometBorrelly

cassini	Cassini

c1	Cluster-Rumba
c2	Cluster-Salsa
c3	Cluster-Samba
c4	Cluster-Tango
cc	Ampte_cce
cl	Cluster
cn	CANOPUS
cnofs	CNOFS

cometgs	CometGriggSkjellerup
comethmp	CometHondaMrkosPajdusakova

crres	CRESS
ct	Cluster centroid
d1	dynamicsexplorer1 cdaw9

dawn	Dawn

de	dynamicsexplorer1
de1	dynamicsexplorer1
de2	DynamicsExplorer2
dmsp	DMSP
dmsp-f15	DMSP\/F15
dmsp-f16	DMSP\/F16
dmsp-f17	DMSP\/F17
dmsp-f18	DMSP\/F18
dmsp-f19	DMSP\/F19
dmsp-f20	DMSP\/F20
dn	SuperDARN
dscovr	DSCOVR

earth	Earth

eq	Equator-S
erg	Arase
fa	FAST
fast	FAST
fm	kilpisjarvi

g0	goes10
g10	goes10
g11	goes11
g12	goes12
g5	goes5 cdaw9
g6	GOES\/6
g7	GOES\/7
g8	goes8
g9	goes9

galileo	Galileo

gb	ground
ge	Geotail
genesis	genesis

giacobini	CometGiacobini
giotto	Giotto

gm	gms3 cdaw9
goes11	goes11
goes12	goes12
gps	gps

halebopp	CometHaleBopp
halley	CometHalley

hel1	Helios1
hel2	Helios2
helios1	Helios1
helios2	Helios2

hk	hawkeye

hyakutake	CometHyakutake

i1	ISIS1
i2	ISIS2
i7	imp7
i8	imp8
ia	interball-auroral
ibex	ibex
ig	pc.index
ij	imp8 cdaw9
im	image
ir	ampte_irm cdaw9
isee1	ISEE1
isee2	ISEE2
isee3	ISEE3
isee-3	ISEE3

isee-3-return	ISEE3

iss	ISS
it	interball-tail

juno	Juno
jupiter	Jupiter

l0	LANL1990
l1	LANL1991
l4	LANL1994
l7	LANL1997
l9	LANL1989

mars	Mars

mvn	MAVEN

maven	MAVEN

mercury	Mercury
messenger	MESSENGER

mms1	MMS\/1
mms2	MMS\/2
mms3	MMS\/3
mms4	MMS\/4
map	map
mariner2	mariner2
mess	messenger
metop1	metop1
metop2	metop2

msl	MarsScienceLaboratory

munin	munin

neptune	Neptune

new	NewHorizons

new_horizons	NewHorizons

noaa05	noaa05
noaa06	noaa06
noaa07	noaa07
noaa08	noaa08
noaa10	noaa10
noaa12	noaa12
noaa14	noaa14
noaa15	noaa14
noaa16	noaa14
noaa18	noaa14
noaa19	noaa14
ohzora	ohzora
om	OMNI
omni	OMNI
omni2	OMNI

phobos2	Phobos2

pioneer10	Pioneer10
pioneer11	Pioneer11
pioneer6	Pioneer6
pioneer7	Pioneer7
pioneervenus	PioneerVenusOrbiter

pluto	Pluto

po	POLAR
prognoz10	prognoz10
psp	ParkerSolarProbe
pvo	pvo
rbspa	RBSP\/A
rbspb	RBSP\/B
rbsp-a	RBSP\/A
rbsp-b	RBSP\/B
rbsp-a-rbspice	RBSP\/A
rbsp-b-rbspice	RBSP\/B

rosetta	Rosetta

rs	rocsat-1(formosat-1)

sakigake	Sakigake
saturn	Saturn

s1	LANL1982 cdaw9
s2	LANL1982 cdaw9
s3	LANL1984 cdaw9
s9	LANL1984 cdaw9
sc	scatha cdaw9
se	sesame
sl	stelab
sn	sondrestrom
snoe	snoe

so	SOHO
soho	SOHO

solar-orbiter	SolarOrbiter
solo	SolarOrbiter

splitvc0	THEMIS\/a THEMIS\/b THEMIS\/c THEMIS\/d THEMIS\/e
splitvc3	THEMIS\/a THEMIS\/b THEMIS\/c THEMIS\/d THEMIS\/e
sta	STEREO-A
stb	STEREO-B
xxxstereo	STEREO-A STEREO-B
sts01	iss

suisei	Suisei

sx	sampex
t1	LANL1989 LANL1990 LANL1991 LANL1994 LANL1997 LANL2001 LANL2002
t2	LANL1989 LANL1990 LANL1991 LANL1994 LANL1997 LANL2001 LANL2002
t3	LANL1989 LANL1990 LANL1991 LANL1994 LANL1997 LANL2001 LANL2002
tha	themisa THEMIS\/A
thb	themisb THEMIS\/B

xxxthb	Artemis-P1
xxxthc	Artemis-P2

thc	themisc THEMIS\/C
thd	themisd THEMIS\/D
the	themise THEMIS\/E
THEMIS	themis THEMIS\/a THEMIS\/b THEMIS\/c THEMIS\/d THEMIS\/e
themis1	THEMIS\/A
themis2	THEMIS\/B
themis3	THEMIS\/C
themis4	THEMIS\/D
themis5	THEMIS\/E
thg	THEMIS\/Ground
timed	TIMED
twins	TWINS1 TWINS2
twins1	TWINS1
twins2	TWINS2
uy	Ulysses

ulysses	Ulysses

venus	Venus

vi	viking cdaw9

voyager1	Voyager1
voyager2	Voyager2
vg1	Voyager1
vg2	Voyager2
wi	Wind

