data_product_name	start_date	stop_date
AC_H1_MFI	1997-09-02T00:00:00.000	2018-08-10T23:56:00.000
AC_H2_MFI	1997-09-02T00:00:00.000	2018-08-10T23:00:00.000
AC_H2_SEP	1997-10-08T00:00:00.000	2005-02-04T23:00:00.000
AC_H2_SWE	1998-02-04T00:00:00.000	2018-09-06T23:00:00.000
AC_H2_SWI	1998-02-04T00:09:16.000	2011-08-21T22:40:54.000
AC_H3_MFI	1998-01-01T00:00:00.000	2018-08-10T23:59:59.000
AC_H3_SWI	1998-02-04T00:09:16.000	2011-08-21T21:40:53.000
AC_H4_SWI	1998-02-04T00:09:16.000	2011-08-21T02:28:39.000
AC_H5_SWI	1998-02-04T00:09:16.000	2011-08-21T21:40:53.000
AC_K0_EPM	2017-07-01T00:00:00.000	2019-01-12T23:55:00.000
AC_K0_MFI	2017-07-01T00:00:00.000	2019-01-12T23:55:00.000
AC_K0_SWE	2017-07-01T00:00:00.000	2019-01-12T23:55:00.000
AC_K1_EPM	2017-07-01T00:00:00.000	2019-01-12T23:00:00.000
AC_K1_MFI	2017-07-01T00:00:00.000	2019-01-12T23:59:55.000
AC_K2_MFI	2017-07-01T00:00:00.000	2019-01-12T23:00:00.000
ALOUETTE2_NEPROF_TOPS	1965-12-15T09:40:15.000	1972-07-10T22:37:22.000
APOLLO12_SWS_1HR	1969-11-19T19:30:00.000	1976-03-25T08:30:00.000
APOLLO12_SWS_28S	1969-11-19T18:42:13.000	1976-03-25T08:35:57.000
APOLLO15_SWS_1HR	1971-07-31T19:30:00.000	1972-06-30T17:30:00.000
APOLLO15_SWS_28S	1971-07-31T19:38:38.000	1972-06-30T18:14:35.000
BAR_1A_L2_EPHM	2013-01-28T13:25:51	2013-02-14T01:43:46
BAR_1A_L2_FSPC	2013-01-28T13:25:51	2013-02-14T01:43:50
BAR_1A_L2_HKPG	2013-01-28T10:58:24	2013-02-14T04:49:56
BAR_1A_L2_MAGN	2013-01-28T13:25:51	2013-02-14T01:43:49
BAR_1A_L2_MSPC	2013-01-28T13:25:51	2013-02-14T01:43:46
BAR_1A_L2_RCNT	2013-01-28T13:25:51	2013-02-14T01:43:46
BAR_1A_L2_SSPC	2013-01-28T13:27:51	2013-02-14T01:43:26
BAR_1B_L2_EPHM	2013-01-02T10:26:04	2013-01-09T20:16:59
BAR_1B_L2_FSPC	2013-01-02T10:26:04	2013-01-09T20:17:03
BAR_1B_L2_HKPG	2013-01-02T09:09:48	2013-01-09T20:16:51
BAR_1B_L2_MAGN	2013-01-02T10:26:04	2013-01-09T20:17:03
BAR_1B_L2_MSPC	2013-01-02T10:26:04	2013-01-09T20:16:59
BAR_1B_L2_RCNT	2013-01-02T10:26:04	2013-01-09T20:16:59
BAR_1B_L2_SSPC	2013-01-02T10:26:04	2013-01-09T20:16:35
BAR_1C_L2_EPHM	2013-01-16T19:11:11	2013-01-26T01:52:52
BAR_1C_L2_FSPC	2013-01-16T19:11:11	2013-01-26T01:52:56
BAR_1C_L2_HKPG	2013-01-16T16:27:52	2013-01-26T03:42:19
BAR_1C_L2_MAGN	2013-01-16T19:11:11	2013-01-26T01:52:56
BAR_1C_L2_MSPC	2013-01-16T19:11:11	2013-01-26T01:52:52
BAR_1C_L2_RCNT	2013-01-16T19:11:11	2013-01-26T01:52:52
BAR_1C_L2_SSPC	2013-01-16T19:11:27	2013-01-26T01:52:36
BAR_1D_L2_EPHM	2013-01-04T17:07:28	2013-01-21T10:19:50
