data_product	time_column_num	parameter_key	cadence
fast_hr_dcb	00	epoch	PT0.0078125S
fast_hr_dcb	01	range_epoch	PT135M
fast_hr_dcb	02	spin_epoch	PT15S
fast_hr_dcb	03	ephemeris_epoch	PT1S
fast_hr_dcb	04	orbit_fixed_epoch	PT135M
tha_l1_bau	00	tha_bau302_time	PT20S
tha_l1_bau	01	tha_bau305_time	PT3S
tha_l1_bau	02	tha_bau30c_time	PT4S
tha_l1_eff	00	tha_eff_time	PT0.125S
tha_l1_eff	01	tha_eff_hed_time	PT0.0064S
tha_l1_efp	00	tha_efp_time	PT0.0078125S
tha_l1_efp	01	tha_efp_hed_time	PT4S
tha_l1_efw	00	tha_efw_time	PT0.00012207S
tha_l1_efw	01	tha_efw_hed_time	PT0.0625S
tha_l1_esa	00	tha_eif_088x32_time	PT97S
tha_l1_esa	01	tha_eif_hed_time	PT0.0097S
tha_l1_esa	02	tha_eif_176x16_time	PT99999.999S
tha_l1_esa	03	tha_eib_088x32_time	PT3S
tha_l1_esa	04	tha_eib_hed_time	PT3S
tha_l1_esa	05	tha_eib_176x16_time	PT99999.999S
tha_l1_esa	06	tha_eir_001x16_time	PT99999.999S
tha_l1_esa	07	tha_eir_hed_time	PT9.125S
tha_l1_esa	08	tha_eir_001x32_time	PT3S
tha_l1_esa	09	tha_eir_006x16_time	PT99999.999S
tha_l1_esa	10	tha_eir_006x32_time	PT99999.999S
tha_l1_esa	11	tha_eir_050x24_time	PT3S
tha_l1_esa	12	tha_eir_072x16_time	PT99999.999S
tha_l1_esa	13	tha_eef_088x32_time	PT388S
tha_l1_esa	14	tha_eef_088x15_time	PT3S
tha_l1_esa	15	tha_eef_hed_time	PT9.125S
tha_l1_esa	16	tha_eeb_088x32_time	PT3S
tha_l1_esa	17	tha_eeb_hed_time	PT3S
tha_l1_esa	18	tha_eer_001x32_time	PT3S
tha_l1_esa	19	tha_eer_006x16_time	PT99999.999S
tha_l1_esa	20	tha_eer_hed_time	PT0.0291S
tha_l1_esa	21	tha_eer_006x32_time	PT99999.999S
tha_l1_esa	22	tha_eesa_config_time	PT3S
tha_l1_esa	23	tha_iesa_config_time	PT3S
tha_l1_esa	24	tha_eesa_solarwind_flag_time	PT3S
tha_l1_esa	25	tha_iesa_solarwind_flag_time	PT3S
tha_l1_esa	26	tha_eesa_sweep_mode_time	PT3S
tha_l1_esa	27	tha_iesa_sweep_mode_time	PT3S
tha_l1_fbk	00	tha_fbk_time	PT4S
tha_l1_fbk	01	tha_fbk_hed_time	PT0.1024S
tha_l1_fff_16	00	tha_fff_16_time	PT4S
tha_l1_fff_16	01	tha_fff_16_hed_time	PT99999.999S
tha_l1_fff_32	00	tha_fff_32_time	PT8S
tha_l1_fff_32	01	tha_fff_32_hed_time	PT0.0128S
tha_l1_fff_64	00	tha_fff_64_time	PT8S
tha_l1_fff_64	01	tha_fff_64_hed_time	PT0.0064S
tha_l1_ffp_16	00	tha_ffp_16_time	PT0.25S
tha_l1_ffp_16	01	tha_ffp_16_hed_time	PT8S
tha_l1_ffp_32	00	tha_ffp_32_time	PT0.5S
tha_l1_ffp_32	01	tha_ffp_32_hed_time	PT8S
tha_l1_ffp_64	00	tha_ffp_64_time	PT1S
tha_l1_ffp_64	01	tha_ffp_64_hed_time	PT8S
tha_l1_ffw_16	00	tha_ffw_16_time	PT0.25S
tha_l1_ffw_16	01	tha_ffw_16_hed_time	PT8S
tha_l1_ffw_32	00	tha_ffw_32_time	PT0.5S
tha_l1_ffw_32	01	tha_ffw_32_hed_time	PT8S
tha_l1_fgm	00	tha_fge_time	PT0.125S
tha_l1_fgm	01	tha_fge_hed_time	PT2S
tha_l1_fgm	02	tha_fgl_time	PT0.25S
tha_l1_fgm	03	tha_fgl_hed_time	PT0.0128S
tha_l1_fgm	04	tha_fgh_time	PT0.0078125S
tha_l1_fgm	05	tha_fgh_hed_time	PT4S
tha_l1_fit	00	tha_fit_time	PT3S
tha_l1_fit	01	tha_fit_hed_time	PT0.05S
tha_l1_hsk	00	tha_hsk1_time	PT4S
tha_l1_hsk	01	tha_hsk1_samp_time	PT99999.999S
tha_l1_hsk	02	tha_hsk2_time	PT4S
tha_l1_mom	00	tha_mom_time	PT3S
tha_l1_mom	01	tha_mom_hed_time	PT0.00485S
tha_l1_mom	02	tha_mom_eesa_sweep_time	PT3S
tha_l1_mom	03	tha_mom_iesa_sweep_time	PT3S
tha_l1_mom	04	tha_mom_eesa_solarwind_flag_time	PT3S
tha_l1_mom	05	tha_mom_iesa_solarwind_flag_time	PT3S
tha_l1_mom	06	tha_mom_esst_config_time	PT3S
tha_l1_mom	07	tha_mom_isst_config_time	PT3S
tha_l1_mom	08	tha_mom_eesa_config_time	PT3S
tha_l1_mom	09	tha_mom_iesa_config_time	PT3S
tha_l1_scf	00	tha_scf_time	PT0.125S
tha_l1_scf	01	tha_scf_hed_time	PT0.0064S
tha_l1_scp	00	tha_scp_time	PT0.0078125S
tha_l1_scp	01	tha_scp_hed_time	PT4S
tha_l1_scw	00	tha_scw_time	PT0.00012207S
tha_l1_scw	01	tha_scw_hed_time	PT0.0625S
tha_l1_spin	00	tha_spin_time	PT3S
tha_l1_spin	01	tha_spin_fgm_corr_time	PT99999.999S
tha_l1_sst	00	tha_sif_032_time	PT99999.999S
tha_l1_sst	01	tha_sif_064_time	PT3S
tha_l1_sst	02	tha_sif_hed_time	PT9.125S
tha_l1_sst	03	tha_sif_128_time	PT99999.999S
tha_l1_sst	04	tha_sir_001_time	PT3S
tha_l1_sst	05	tha_sir_006_time	PT388S
tha_l1_sst	06	tha_sir_hed_time	PT0.0582S
tha_l1_sst	07	tha_sef_032_time	PT99999.999S
tha_l1_sst	08	tha_sef_064_time	PT3S
tha_l1_sst	09	tha_sef_hed_time	PT9.125S
tha_l1_sst	10	tha_sef_128_time	PT99999.999S
tha_l1_sst	11	tha_ser_001_time	PT3S
tha_l1_sst	12	tha_ser_006_time	PT388S
tha_l1_sst	13	tha_ser_hed_time	PT0.0582S
tha_l1_sst	14	tha_seb_064_time	PT3S
tha_l1_sst	15	tha_seb_hed_time	PT9.125S
tha_l1_sst	16	tha_sst_atten_time	PT3S
tha_l1_sst	17	tha_sst_eesa_solarwind_flag_time	PT3S
tha_l1_sst	18	tha_sst_iesa_solarwind_flag_time	PT3S
tha_l1_sst	19	tha_sst_eesa_config_time	PT3S
tha_l1_sst	20	tha_sst_iesa_config_time	PT3S
tha_l1_sst	21	tha_sst_eesa_sweep_mode_time	PT3S
tha_l1_sst	22	tha_sst_iesa_sweep_mode_time	PT3S
tha_l1_sst	23	tha_esst_config_time	PT3S
tha_l1_sst	24	tha_isst_config_time	PT3S
tha_l1_trg	00	tha_trg_time	PT1S
tha_l1_trg	01	tha_trg_hed_time	PT0.05S
tha_l1_vaf	00	tha_vaf_time	PT0.125S
tha_l1_vaf	01	tha_vaf_hed_time	PT0.0032S
tha_l1_vap	00	tha_vap_time	PT0.0078125S
tha_l1_vap	01	tha_vap_hed_time	PT2S
tha_l1_vaw	00	tha_vaw_time	PT0.00012207S
tha_l1_vaw	01	tha_vaw_hed_time	PT0.03125S
thb_l1_bau	00	thb_bau302_time	PT20S
thb_l1_bau	01	thb_bau305_time	PT3S
thb_l1_bau	02	thb_bau30c_time	PT4S
thb_l1_eff	00	thb_eff_time	PT0.125S
thb_l1_eff	01	thb_eff_hed_time	PT0.0064S
thb_l1_efp	00	thb_efp_time	PT0.0078125S
thb_l1_efp	01	thb_efp_hed_time	PT4S
thb_l1_efw	00	thb_efw_time	PT0.00012207S
thb_l1_efw	01	thb_efw_hed_time	PT0.0625S
thb_l1_esa	00	thb_eif_088x32_time	PT97S
thb_l1_esa	01	thb_eif_hed_time	PT0.0097S
thb_l1_esa	02	thb_eif_176x16_time	PT99999.999S
thb_l1_esa	03	thb_eib_088x32_time	PT3S
thb_l1_esa	04	thb_eib_hed_time	PT3S
thb_l1_esa	05	thb_eib_176x16_time	PT99999.999S
thb_l1_esa	06	thb_eir_001x16_time	PT99999.999S
thb_l1_esa	07	thb_eir_hed_time	PT9.125S
thb_l1_esa	08	thb_eir_001x32_time	PT3S
thb_l1_esa	09	thb_eir_006x16_time	PT99999.999S
thb_l1_esa	10	thb_eir_006x32_time	PT99999.999S
thb_l1_esa	11	thb_eir_050x24_time	PT3S
thb_l1_esa	12	thb_eir_072x16_time	PT99999.999S
thb_l1_esa	13	thb_eef_088x32_time	PT388S
thb_l1_esa	14	thb_eef_088x15_time	PT3S
thb_l1_esa	15	thb_eef_hed_time	PT9.125S
thb_l1_esa	16	thb_eeb_088x32_time	PT3S
thb_l1_esa	17	thb_eeb_hed_time	PT3S
thb_l1_esa	18	thb_eer_001x32_time	PT3S
thb_l1_esa	19	thb_eer_006x16_time	PT99999.999S
thb_l1_esa	20	thb_eer_hed_time	PT0.0291S
thb_l1_esa	21	thb_eer_006x32_time	PT99999.999S
thb_l1_esa	22	thb_eesa_config_time	PT3S
thb_l1_esa	23	thb_iesa_config_time	PT3S
thb_l1_esa	24	thb_eesa_solarwind_flag_time	PT3S
thb_l1_esa	25	thb_iesa_solarwind_flag_time	PT3S
thb_l1_esa	26	thb_eesa_sweep_mode_time	PT3S
thb_l1_esa	27	thb_iesa_sweep_mode_time	PT3S
thb_l1_fbk	00	thb_fbk_time	PT4S
thb_l1_fbk	01	thb_fbk_hed_time	PT0.1024S
thb_l1_fff_16	00	thb_fff_16_time	PT4S
thb_l1_fff_16	01	thb_fff_16_hed_time	PT99999.999S
thb_l1_fff_32	00	thb_fff_32_time	PT8S
thb_l1_fff_32	01	thb_fff_32_hed_time	PT0.0128S
thb_l1_fff_64	00	thb_fff_64_time	PT8S
thb_l1_fff_64	01	thb_fff_64_hed_time	PT0.0064S
thb_l1_ffp_16	00	thb_ffp_16_time	PT0.25S
thb_l1_ffp_16	01	thb_ffp_16_hed_time	PT8S
thb_l1_ffp_32	00	thb_ffp_32_time	PT0.5S
thb_l1_ffp_32	01	thb_ffp_32_hed_time	PT8S
thb_l1_ffp_64	00	thb_ffp_64_time	PT1S
thb_l1_ffp_64	01	thb_ffp_64_hed_time	PT8S
thb_l1_ffw_16	00	thb_ffw_16_time	PT0.25S
thb_l1_ffw_16	01	thb_ffw_16_hed_time	PT8S
thb_l1_ffw_32	00	thb_ffw_32_time	PT0.5S
thb_l1_ffw_32	01	thb_ffw_32_hed_time	PT8S
thb_l1_fgm	00	thb_fge_time	PT0.125S
thb_l1_fgm	01	thb_fge_hed_time	PT2S
thb_l1_fgm	02	thb_fgl_time	PT0.25S
thb_l1_fgm	03	thb_fgl_hed_time	PT0.0128S
thb_l1_fgm	04	thb_fgh_time	PT0.0078125S
thb_l1_fgm	05	thb_fgh_hed_time	PT4S
thb_l1_fit	00	thb_fit_time	PT3S
thb_l1_fit	01	thb_fit_hed_time	PT0.05S
thb_l1_hsk	00	thb_hsk1_time	PT4S
thb_l1_hsk	01	thb_hsk1_samp_time	PT99999.999S
thb_l1_hsk	02	thb_hsk2_time	PT4S
thb_l1_mom	00	thb_mom_time	PT3S
thb_l1_mom	01	thb_mom_hed_time	PT0.00485S
thb_l1_mom	02	thb_mom_eesa_sweep_time	PT3S
thb_l1_mom	03	thb_mom_iesa_sweep_time	PT3S
thb_l1_mom	04	thb_mom_eesa_solarwind_flag_time	PT3S
thb_l1_mom	05	thb_mom_iesa_solarwind_flag_time	PT3S
thb_l1_mom	06	thb_mom_esst_config_time	PT3S
thb_l1_mom	07	thb_mom_isst_config_time	PT3S
thb_l1_mom	08	thb_mom_eesa_config_time	PT3S
