cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	units	units_conversion	name	description	measurement_type	parameter_keyword	type	quantity	qualifier	instrument_id_000	instrument_id_001	coordinate_system_name	coordinate_representation	element__name_0	element__name_1	element__name_2	element__name_3
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_dv34	epoch	ns	1.0e-9&gt;s	epoch	Time for AC Bandpass Filter data		support_data											
CDF_FLOAT	1	1:[7]	T/T	OOOOO	psp_fld_l2_dfb_ac_bpf_dv34	psp_fld_l2_dfb_ac_bpf_dV34_frequency_bins	Hz		frequency_bins	Frequency bins for channel dV34		support_data											
CDF_FLOAT	1	1:[7]	T/T	OOOOO	psp_fld_l2_dfb_ac_bpf_dv34	psp_fld_l2_dfb_ac_bpf_dV34_avg	V		psp_fld_l2_dfb_ac_bpf_dV34_avg	L2 AC Band-pass filter average power for channel dV34		data											
CDF_FLOAT	1	1:[7]	T/T	OOOOO	psp_fld_l2_dfb_ac_bpf_dv34	psp_fld_l2_dfb_ac_bpf_dV34_peak	V		psp_fld_l2_dfb_ac_bpf_dV34_peak	L2 AC Band-pass filter peak power for channel dV34		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_dv34	psp_fld_l2_dfb_ac_bpf_dV34_saturation_flags			psp_fld_l2_dfb_ac_bpf_dV34_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_dv34	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_dv34	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_scmulfhg	epoch	ns	1.0e-9&gt;s	epoch	Time for AC Bandpass Filter data		support_data											
CDF_FLOAT	1	1:[7]	T/T	OOOOO	psp_fld_l2_dfb_ac_bpf_scmulfhg	psp_fld_l2_dfb_ac_bpf_SCMulfhg_frequency_bins	Hz		frequency_bins	Frequency bins for channel SCMulfhg		support_data											
CDF_FLOAT	1	1:[7]	T/T	OOOOO	psp_fld_l2_dfb_ac_bpf_scmulfhg	psp_fld_l2_dfb_ac_bpf_SCMulfhg_avg	nT	1.0e-9&gt;T	psp_fld_l2_dfb_ac_bpf_SCMulfhg_avg	L2 AC Band-pass filter average power for channel SCMulfhg		data											
CDF_FLOAT	1	1:[7]	T/T	OOOOO	psp_fld_l2_dfb_ac_bpf_scmulfhg	psp_fld_l2_dfb_ac_bpf_SCMulfhg_peak	nT	1.0e-9&gt;T	psp_fld_l2_dfb_ac_bpf_SCMulfhg_peak	L2 AC Band-pass filter peak power for channel SCMulfhg		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_scmulfhg	psp_fld_l2_dfb_ac_bpf_SCMulfhg_saturation_flags			psp_fld_l2_dfb_ac_bpf_SCMulfhg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_scmulfhg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_scmulfhg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_scmumfhg	epoch	ns	1.0e-9&gt;s	epoch	Time for AC Bandpass Filter data		support_data											
CDF_FLOAT	1	1:[7]	T/T	OOOOO	psp_fld_l2_dfb_ac_bpf_scmumfhg	psp_fld_l2_dfb_ac_bpf_SCMumfhg_frequency_bins	Hz		frequency_bins	Frequency bins for channel SCMumfhg		support_data											
CDF_FLOAT	1	1:[7]	T/T	OOOOO	psp_fld_l2_dfb_ac_bpf_scmumfhg	psp_fld_l2_dfb_ac_bpf_SCMumfhg_avg	nT	1.0e-9&gt;T	psp_fld_l2_dfb_ac_bpf_SCMumfhg_avg	L2 AC Band-pass filter average power for channel SCMumfhg		data											
CDF_FLOAT	1	1:[7]	T/T	OOOOO	psp_fld_l2_dfb_ac_bpf_scmumfhg	psp_fld_l2_dfb_ac_bpf_SCMumfhg_peak	nT	1.0e-9&gt;T	psp_fld_l2_dfb_ac_bpf_SCMumfhg_peak	L2 AC Band-pass filter peak power for channel SCMumfhg		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_scmumfhg	psp_fld_l2_dfb_ac_bpf_SCMumfhg_saturation_flags			psp_fld_l2_dfb_ac_bpf_SCMumfhg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_scmumfhg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_bpf_scmumfhg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_dv12hg	epoch_ac_spec_dV12hg	ns	1.0e-9&gt;s	epoch_ac_spec_dV12hg	Time for the DV12HG spectra data		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_dv12hg	psp_fld_l2_dfb_ac_spec_dV12hg_frequency_bins	Hz		psp_fld_l2_dfb_ac_spec_dV12hg_frequency_bins	Frequency bins for channel DV12HG		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_dv12hg	psp_fld_l2_dfb_ac_spec_dV12hg	V^2/Hz		psp_fld_l2_dfb_ac_spec_dV12hg	L2 Power Spectra for channel DV12HG		data											
CDF_INT2	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_dv12hg	psp_fld_l2_dfb_ac_spec_dV12hg_saturation_flags			psp_fld_l2_dfb_ac_spec_dV12hg_saturation_flags	L2 Saturation flags (1 = spectra saturated, 0 = spectra unsaturated)		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_dv12hg	epoch_quality_flags	ns	1.0e-9&gt;s	epoch_quality_flags	Time for the FIELDS quality flag		support_data											
CDF_UINT4	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_dv12hg	psp_fld_l2_quality_flags			quality_flags	FIELDS quality flag		support_data											
CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_ac_spec_dv34hg	epoch_ac_spec_dV34hg	ns	1.0e-9&gt;s	epoch_ac_spec_dV34hg	Time for the DV34HG spectra data		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_dv34hg	psp_fld_l2_dfb_ac_spec_dV34hg_frequency_bins	Hz		psp_fld_l2_dfb_ac_spec_dV34hg_frequency_bins	Frequency bins for channel DV34HG		support_data											
CDF_FLOAT	1	1:[54]	T/T	OOOOO	psp_fld_l2_dfb_ac_spec_dv34hg	psp_fld_l2_dfb_ac_spec_dV34hg	V^2/Hz		psp_fld_l2_dfb_ac_spec_dV34hg	L2 Power Spectra for channel DV34HG		data											
