ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	epoch_psp_fld_l2_dfb_dbm_dvdc	epoch_psp_fld_l2_dfb_dbm_dvdc	Time of first data point for L2 DC Burst Differential Voltage		ns	2020-01-24T06:00:00.000000000	2020-01-24T12:00:00.000000000	2010-01-01T00:00:00.000000000	2050-01-01T00:00:00.000000000	9999-12-31T23:59:59.999999999		I22	epoch	support_data					INCREASE	
ASTRO	CDF_DOUBLE	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc_sample_rate	psp_fld_l2_dfb_dbm_dvdc_sample_rate	Sample rate for L2 DC Burst Differential Voltage		Samples/s			292.969	150000.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3		support_data	time_series					
ASTRO	CDF_TT2000	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc_time_series_TT2000	psp_fld_l2_dfb_dbm_dvdc_time_series_TT2000	L2 DC Burst Differential Voltage Waveform Time in TT2000		ns	2020-01-24T06:00:00.000000000	2020-01-24T12:00:00.000000000	2010-01-01T00:00:00.000000000	2050-01-01T00:00:00.000000000	9999-12-31T23:59:59.999999999	epoch_psp_fld_l2_dfb_dbm_dvdc	I22	Epoch	ignore_data	no_plot					
ASTRO	CDF_DOUBLE	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc_time_series_seconds	psp_fld_l2_dfb_dbm_dvdc_time_series_seconds	L2 DC Burst Differential Voltage Waveform Time in Seconds (relative to start of burst)		s			0.0	1789.57	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F16.8	Time	ignore_data	no_plot		psp_fld_l2_dfb_dbm_dvdc_time_series_TT2000			
ASTRO	CDF_FLOAT	1	1:[524288]	T/T	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc12	psp_fld_l2_dfb_dbm_dvdc12	L2 DC Burst Differential Voltage from Sensors 1 and 2		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Burst Waveform from Sensors 1 and 2	ignore_data	no_plot		psp_fld_l2_dfb_dbm_dvdc_time_series_seconds			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc12_rms	psp_fld_l2_dfb_dbm_dvdc12_rms	L2 DC Burst Differential Voltage from Sensors 1 and 2 rms value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor 1/2 rms	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc12_max	psp_fld_l2_dfb_dbm_dvdc12_max	L2 DC Burst Differential Voltage from Sensors 1 and 2 max value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor 1/2 max	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc12_min	psp_fld_l2_dfb_dbm_dvdc12_min	L2 DC Burst Differential Voltage from Sensors 1 and 2 min value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor 1/2 min	data	time_series					
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_fld_l2_dfb_dbm_dvdc	psp_fld_l2_dfb_dbm_dvdc12_median	psp_fld_l2_dfb_dbm_dvdc12_median	L2 DC Burst Differential Voltage from Sensors 1 and 2 median value		V			-3.0	3.0	-1.0e+31	epoch_psp_fld_l2_dfb_dbm_dvdc	F10.3	Sensor 1/2 median	data	time_series					
