ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp	component_0	depend_2	dict_key	funct	labl_ptr_2	virtual
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	psp_swp_spa_sf0_l3_pad	Epoch	Time in TT2000 format	Time at middle of sample		ns			1990-01-01T00:00:00.000000000	2029-12-31T23:59:58.999000000	9999-12-31T23:59:59.999999999	Epoch	F24.1	Epoch	support_data	time_series				INCREASE	linear			time&gt;Epoch			
ASTRO	CDF_DOUBLE	1	0:[]	T/	OOOOO	psp_swp_spa_sf0_l3_pad	TIME	Time in UTC format	Time at middle of sample		s			1.2623e+09	4.10244e+09	nan	Epoch	F24.7	Unix Time	support_data	time_series				INCREASE	linear			time&gt;UTC			
ASTRO	CDF_DOUBLE	1	0:[]	T/	OOOOO	psp_swp_spa_sf0_l3_pad	MET	MET	MET								Epoch	I20	MET	ignore_data	time_series					linear						
ASTRO	CDF_UINT2	1	0:[]	T/	OOOOO	psp_swp_spa_sf0_l3_pad	F0	F0	F0								Epoch	I20	F0	ignore_data	time_series					linear						
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	psp_swp_spa_sf0_l3_pad	PEAK_BIN	PEAK_BIN	PEAK_BIN								Epoch	I20	PEAK_BIN	ignore_data	time_series					linear						
ASTRO	CDF_UINT4	1	0:[]	T/	OOOOO	psp_swp_spa_sf0_l3_pad	TOT_ACCUM_PERIOD	TOT_ACCUM_PERIOD	TOT_ACCUM_PERIOD								Epoch	I20	TOT_ACCUM_PERIOD	ignore_data	time_series					linear						
ASTRO	CDF_UINT4	1	0:[]	T/	OOOOO	psp_swp_spa_sf0_l3_pad	NUM_ACCUM	NUM_ACCUM	NUM_ACCUM								Epoch	I20	NUM_ACCUM	ignore_data	time_series					linear						
ASTRO	CDF_INT2	1	0:[]	T/	OOOOO	psp_swp_spa_sf0_l3_pad	SMP_BITS	SMP_BITS	SMP_BITS								Epoch	I20	SMP_BITS	ignore_data	time_series					linear						
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	psp_swp_spa_sf0_l3_pad	ARCH_BITS	ARCH_BITS	ARCH_BITS								Epoch	I20	ARCH_BITS	ignore_data	time_series					linear						
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	psp_swp_spa_sf0_l3_pad	LTCSNNNN_BITS	LTCSNNNN_BITS	LTCSNNNN_BITS								Epoch	I20	LTCSNNNN_BITS	ignore_data	time_series					linear						
