Astro	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	units	units_conversion	name	description	measurement_type	parameter_keyword	type	quantity	qualifier	instrument_id_000	instrument_id_001	coordinate_system_name	coordinate_representation	element__name_0	element__name_1	element__name_2	element__name_3
Astro	CDF_TT2000	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	Epoch	ns		Epoch	Default time		support_data											
Astro	CDF_UINT4	1	1:[2]	T/T	OOOOO	solo_l1_rpw-tnr-surv	ACQUISITION_TIME			CCSDS CUC Acquisition time as returned in TM packets	RPW TNR acquisition time		support_data											
Astro	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	QUALITY_FLAG			QUALITY_FLAG	Quality flag		support_data											
Astro	CDF_UINT2	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	QUALITY_BITMASK			QUALITY_BITMASK	Bitmask flag		support_data											
Astro	CDF_UINT4	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	SWEEP_NUM			SWEEP_NUM	TNR sweep index number in current file		support_data											
Astro	CDF_DOUBLE	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	MEASUREMENT_DURATION	ns		MEASUREMENT_DURATION	Time duration of the current TNR band measurement		support_data											
Astro	CDF_INT8	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	TICKS_NR			TICKS_NR	Number of ticks		support_data											
Astro	CDF_DOUBLE	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	DELTA_TIME	&#181;s		DELTA_TIME	RPW TNR delta time		support_data											
Astro	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	SURVEY_MODE			SURVEY_MODE	THR survey mode		support_data											
Astro	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	CALIBRATION_LEVEL			CALIBRATION_LEVEL	receiver calibration level		support_data											
Astro	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	AVERAGE_NR			AVERAGE_NR	Number of averages		support_data											
Astro	CDF_UINT1	1	1:[2]	T/T	OOOOO	solo_l1_rpw-tnr-surv	AUTO_CROSS_STATUS			AUTO_CROSS_STATUS	Auto cross computation computation status		support_data											
