ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	var_type	ucd	units	unit_ptr	detector	si_conversion	cadence	resolution	acc_time	time_base	time_scale	integration_time	depend_0	depend_1	depend_2	display_type	format	lablaxis	labl_ptr_1	label	coordinate_system	frame_origin	frame_velocity	reference_position	representation_1	representation_2	tensor_order	fillval	scalemax	scalemin	scaletyp	scaletype	validmax	validmin	bin_location	delta_minus_var	delta_plus_var	monoton
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	Epoch	Epoch	Default time	Primary time used as a reference in the file. Epoch is taken at the middle of the current TNR data sample measurement.	support_data		ns					15258 ns		J2000	Terrestrial Time							Epoch						Spacecraft barycenter				9999-12-31T23:59:59.999999999	6.45543e+17	6.45451e+17	linear		2029-12-31T23:59:59.999000000	1990-01-01T00:00:00.000000000	0.5			INCREASE
ASTRO	CDF_UINT4	1	1:[2]	T/T	OOOOO	solo_l1_rpw-tnr-surv	ACQUISITION_TIME	CCSDS CUC Acquisition time as returned in TM packets	RPW TNR acquisition time	Acquisition time of the first sample contained in the packet. (CUC format)	support_data			ACQUISITION_TIME_UNITS						2000-01-01T00:00:00	RPW DPU clock		Epoch			time_series	I10.0		ACQUISITION_TIME_LABEL									4294967295	645580658	25	linear		4294967294	0				
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	QUALITY_FLAG	QUALITY_FLAG	Quality flag	Flag to indicate the quality of the data	support_data												Epoch			time_series	I1.1	Quality flag										255	5	0	linear		4	0				
ASTRO	CDF_UINT2	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	QUALITY_BITMASK	QUALITY_BITMASK	Bitmask flag	Flag to indicate any context information or status at the receiver or experiment level	support_data												Epoch			time_series	I5	Bitmask flag										65535	255	255	linear		65534	0				
ASTRO	CDF_UINT4	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	SWEEP_NUM	SWEEP_NUM	TNR sweep index number in current file	TNR sweep index number in the current file	support_data												Epoch			time_series	I10.0	TNR sweep index										4294967295	6392	0	linear		4294967294	1				
ASTRO	CDF_DOUBLE	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	MEASUREMENT_DURATION	MEASUREMENT_DURATION	Time duration of the current TNR band measurement	Time duration of the current TNR band measurement in nanoseconds.	support_data		ns										Epoch			time_series	F10.0	TNR measurement duration										-1.0e+31	2.0e+06	1.0e+06	linear		1.0e+30	0.0				INCREASE
ASTRO	CDF_INT8	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	TICKS_NR	TICKS_NR	Number of ticks	Number of ticks between two data samples for the current TNR band.	support_data												Epoch			time_series	I10.0	TNR ticks										-9223372036854775808	4294902627	809	linear		9223372036854775807	0				
ASTRO	CDF_DOUBLE	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	DELTA_TIME	DELTA_TIME	RPW TNR delta time	Delta times of the current TNR band between two data samples in microseconds. Computed from TICKS_NR * (1 tick = 15.258 us)	support_data		&#181;s										Epoch			time_series	F10.0	TNR delta time										-1.0e+31	6.55316e+10	12344.0	linear		1.0e+30	0.0				
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	SURVEY_MODE	SURVEY_MODE	THR survey mode	Flag to indicate if the receiver in the SURVEY_BURST (=1) or SURVEY_NORMAL (=0) mode	support_data												Epoch			time_series	I1.1	THR survey mode										255	0	0	linear		1	0				
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	CALIBRATION_LEVEL	CALIBRATION_LEVEL	receiver calibration level	Internal calibration level (0=no calibration)	support_data												Epoch			time_series	I1.1	TNR Cal. Level										255	255	255	linear		1	0				
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	AVERAGE_NR	AVERAGE_NR	Number of averages	Number of averages (16, 32, 64 or 128) applied	support_data												Epoch			time_series	I3.3	averages										255	128	128	linear		128	16				
ASTRO	CDF_UINT1	1	1:[2]	T/T	OOOOO	solo_l1_rpw-tnr-surv	AUTO_CROSS_STATUS	AUTO_CROSS_STATUS	Auto cross computation computation status	Flag to indicate if the auto and cross values are computed (=1) or not (=0)	support_data												Epoch			time_series	I1.1	Auto/Cross comp. status										255	1	0	linear		1	0				
ASTRO	CDF_UINT1	1	1:[2]	T/T	OOOOO	solo_l1_rpw-tnr-surv	CHANNEL_STATUS	CHANNEL_STATUS	TNR channel status	TNR channel status of the current record. Possible values are: 1=OFF, 0=ON.	support_data												Epoch			time_series	I1.1		CHANNEL_LABEL									255	1	0	linear		1	0				
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	FRONT_END	FRONT_END	Front end setting	Indicates the TNR front end setting (GND=0, PREAMP=1, CAL=2)	support_data												Epoch			time_series	I1.1		FRONT_END_LABEL									255	1	1	linear		1	0				
ASTRO	CDF_UINT1	1	1:[2]	T/T	OOOOO	solo_l1_rpw-tnr-surv	SENSOR_CONFIG	SENSOR_CONFIG	TNR sensor configuration	Indicates the THR sensor configuration (V1=1, V2=2, V3=3, V1-V2=4, V2-V3=5, V3-V1=6, B_MF=7, HF_V1-V2=9, HF_V2-V3=10, HF_V3-V1=11)	support_data												Epoch			time_series	I1.1	THR sensor config.	CHANNEL_LABEL									255	9	1	linear		1	0				
ASTRO	CDF_UINT1	1	1:[15]	T/T	OOOOO	solo_l1_rpw-tnr-surv	RPW_STATUS	RPW_STATUS	Status parameters of RPW sub-systems	Status of 15 RPW sub-systems.	support_data												Epoch			time_series	I1.1	RPW sub-system status	RPW_STATUS_LABEL									255	1	0	linear		1	0				
ASTRO	CDF_UINT1	1	1:[4]	T/T	OOOOO	solo_l1_rpw-tnr-surv	TEMPERATURE	TEMPERATURE	PA and analog temperature	Temperature of the 3 HF PAs and analog. in degrees. In the case of an internal calibration mode, it contains the PCB temperature and the 3 Voltages.	data		&#176;										Epoch			time_series	I3.3	Temperature	TEMPERATURE_LABEL									255	201	127	linear		254	0				
