cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp	component_0	dict_key	depend_2	funct	labl_ptr_2	virtual	arr_dim	arr_index	chan_name	delta_minus_var	delta_plus_var	flux_ptr	mnemonic	si_conversion	species	time_base	time_scale	variable_purpose	v_parent
CDF_FLOAT	1	1:[14]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_He_Rate	B_He_Rate	He count rate side B		s^-1	0.0	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	He rate B	data	spectrogram		He_ENERGY	He_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											B_He&gt;rate						
CDF_TT2000	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	Epoch	Epoch	Default time		ns	2017-01-01T00:00:00.000000000	2025-01-01T00:00:00.000000000	1990-01-01T00:00:00.000000000	2029-12-31T23:59:59.999999000	9999-12-31T23:59:59.999999999			Time	support_data					INCREASE	linear		time&gt;epoch								Epoch_DELTA	Epoch_DELTA		Epoch	1e-9&gt;seconds		J2000	TT		
CDF_FLOAT	1	1:[14]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	He_ENERGY	He_ENERGY	Energy Bins for He		MeV/n			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				He_ENERGY_LABL		log										He_ENERGY_DELTAMINUS	He_ENERGY_DELTAPLUS		He_ENERGY						
CDF_CHAR	21	1:[14]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	He_ENERGY_LABL	He_ENERGY_LABL	He									A21		metadata																									
CDF_INT8	1	0:[]	F/	OOOOO	psp_isois-epihi_l2-het-rates10	Epoch_DELTA	Epoch_DELTA	Epoch_DELTA	One half integration time in nanoseconds. Used for DELTA in Epoch.	ns	0	86000000000000	0	86000000000000	-9223372036854775808		I14	Epoch DELTA	support_data	time_series					linear		time											Epoch_DELTA	1e-9&gt;seconds					
CDF_FLOAT	1	1:[14]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	He_ENERGY_DELTAMINUS	He_ENERGY_DELTAMINUS	Minus values for Energy Bins for He	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	He ENERGY DELTAMINUS	support_data						log																			
CDF_FLOAT	1	1:[14]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	He_ENERGY_DELTAPLUS	He_ENERGY_DELTAPLUS	Plus values for Energy Bins for He	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	He ENERGY DELTAPLUS	support_data						log																			
CDF_FLOAT	1	1:[13]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	A_H_Flux	A_H_Flux	H flux side A		cm!E-2!Nsr!E-1!Nsec!E-1!NMeV!E-1!N	0.0	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	H flux A	data	spectrogram		H_ENERGY	H_ENERGY_LABL		log		particle_flux&gt;differential_directional_number								A_H_Uncertainty	A_H_Uncertainty		A_H&gt;flux					PRIMARY_VAR,SUMMARY	
CDF_FLOAT	1	1:[13]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	A_H_Uncertainty	A_H_Uncertainty	H uncertainty side A		cm!E-2!Nsr!E-1!Nsec!E-1!NMeV!E-1!N	0.0	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	H uncertainty A	support_data	spectrogram		H_ENERGY	H_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											A_H&gt;uncertainty						
CDF_FLOAT	1	1:[13]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	H_ENERGY	H_ENERGY	Energy Bins for H		MeV			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				H_ENERGY_LABL		log										H_ENERGY_DELTAMINUS	H_ENERGY_DELTAPLUS		H_ENERGY						
CDF_CHAR	17	1:[13]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	H_ENERGY_LABL	H_ENERGY_LABL	H									A17		metadata																									
CDF_FLOAT	1	1:[13]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	H_ENERGY_DELTAMINUS	H_ENERGY_DELTAMINUS	Minus values for Energy Bins for H	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV			0.0	1000.0	-1.0		F6.1	H ENERGY DELTAMINUS	support_data						log																			
CDF_FLOAT	1	1:[13]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	H_ENERGY_DELTAPLUS	H_ENERGY_DELTAPLUS	Plus values for Energy Bins for H	[bin_top] - [geometric mean] of corresponding energy bin	MeV			0.0	1000.0	-1.0		F6.1	H ENERGY DELTAPLUS	support_data						log																			
CDF_FLOAT	1	1:[13]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_H_Flux	B_H_Flux	H flux side B		cm!E-2!Nsr!E-1!Nsec!E-1!NMeV!E-1!N	0.0	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	H flux B	data	spectrogram		H_ENERGY	H_ENERGY_LABL		log		particle_flux&gt;differential_directional_number								B_H_Uncertainty	B_H_Uncertainty		B_H&gt;flux					PRIMARY_VAR,SUMMARY	
CDF_FLOAT	1	1:[13]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_H_Uncertainty	B_H_Uncertainty	H uncertainty side B		cm!E-2!Nsr!E-1!Nsec!E-1!NMeV!E-1!N	0.0	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	H uncertainty B	support_data	spectrogram		H_ENERGY	H_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											B_H&gt;uncertainty						
CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HCI_R	HCI_R	Heliocentric distance	At timestamp. After Fraenz and Harper, PSS, 2002.	ua	0.04	1.03	0.04	1.03	-1.0e+31	Epoch	F5.3	R	data	time_series					linear		position&gt;radial											HCI_R	1.495978E11&gt;m					
CDF_FLOAT	1	1:[14]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_He_Flux	B_He_Flux	He flux side B		cm!E-2!Nsr!E-1!Nsec!E-1!N(MeV/nuc)!E-1!N	0.0	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	He flux B	data	spectrogram		He_ENERGY	He_ENERGY_LABL		log		particle_flux&gt;differential_directional_number								B_He_Uncertainty	B_He_Uncertainty		B_He&gt;flux					PRIMARY_VAR,SUMMARY	
CDF_FLOAT	1	1:[14]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_He_Uncertainty	B_He_Uncertainty	He uncertainty side B		cm!E-2!Nsr!E-1!Nsec!E-1!N(MeV/nuc)!E-1!N	0.0	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	He uncertainty B	support_data	spectrogram		He_ENERGY	He_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											B_He&gt;uncertainty						
CDF_FLOAT	1	1:[18]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	A_Electrons_Rate	A_Electrons_Rate	Electrons count rate side A		s^-1	0.0	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	Electrons rate A	data	spectrogram		Electrons_ENERGY	Electrons_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											A_Electrons&gt;rate						
CDF_FLOAT	1	1:[18]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	Electrons_ENERGY	Electrons_ENERGY	Energy Bins for Electrons		MeV			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				Electrons_ENERGY_LABL		log										Electrons_ENERGY_DELTAMINUS	Electrons_ENERGY_DELTAPLUS		Electrons_ENERGY						
CDF_CHAR	17	1:[18]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	Electrons_ENERGY_LABL	Electrons_ENERGY_LABL	Electrons									A17		metadata																									
CDF_FLOAT	1	1:[18]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	Electrons_ENERGY_DELTAMINUS	Electrons_ENERGY_DELTAMINUS	Minus values for Energy Bins for Electrons	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV			0.0	1000.0	-1.0		F6.1	Electrons ENERGY DELTAMINUS	support_data						log																			
CDF_FLOAT	1	1:[18]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	Electrons_ENERGY_DELTAPLUS	Electrons_ENERGY_DELTAPLUS	Plus values for Energy Bins for Electrons	[bin_top] - [geometric mean] of corresponding energy bin	MeV			0.0	1000.0	-1.0		F6.1	Electrons ENERGY DELTAPLUS	support_data						log																			
CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HGC_Lon	HGC_Lon	HGC longitude	At timestamp. After Fraenz and Harper, PSS, 2002.	&#176;	0.0	360.0	0.0	360.0	-1.0e+31	Epoch	F5.1	HGC longitude	data	time_series					linear		position&gt;longitude											HGC_Lon						
CDF_FLOAT	1	1:[3]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	HET_A_RTN	HET_A_RTN	RTN flow direction HETA	Unit vector, after Fraenz and Harper, PSS, 2002.		-1.0	1.0	-1.0	1.0	-1.0e+31	Epoch	F6.3	Direction [R,T,N]	data	time_series			label_dir_RTN		linear		position&gt;direction											HET_A_RTN						
CDF_CHAR	1	1:[3]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	label_dir_RTN	label_dir_RTN	Label Direction RTN									A1	label dir RTN	metadata																			label_dir_RTN						
CDF_FLOAT	1	1:[3]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	HET_B_HCI	HET_B_HCI	HCI flow direction HETB	Unit vector, after Fraenz and Harper, PSS, 2002.		-1.0	1.0	-1.0	1.0	-1.0e+31	Epoch	F6.3	Direction [x,y,z] HCI	data	time_series			label_dir_HCI		linear		position&gt;direction											HET_B_HCI						
CDF_CHAR	5	1:[3]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	label_dir_HCI	label_dir_HCI	Label Direction HCI									A5	label dir HCI	metadata																			label_dir_HCI						
