Match	Enumeration List Name	New Num	Old Num	New Member	Old Member
1	AccessRights	1	1	Open	Open
1	AccessRights	2	2	PartiallyRestricted	PartiallyRestricted
1	AccessRights	3	3	Restricted	Restricted
1	AssociationType	1	1	ChildEventOf	ChildEventOf
1	AssociationType	2	2	DerivedFrom	DerivedFrom
1	AssociationType	3	3	ObservedBy	ObservedBy
1	AssociationType	4	4	Other	Other
1	AssociationType	5	5	PartOf	PartOf
1	AssociationType	6	6	RevisionOf	RevisionOf
1	Availability	1	1	Offline	Offline
1	Availability	2	2	Online	Online
1	CoordinateRepresentation	1	1	Cartesian	Cartesian
1	CoordinateRepresentation	2	2	Cylindrical	Cylindrical
1	CoordinateRepresentation	3	3	Spherical	Spherical
1	CoordinateSystemName	1	1	CGM	CGM
1	CoordinateSystemName	2	2	CSO	CSO
1	CoordinateSystemName	3	3	Carrington	Carrington
1	CoordinateSystemName	4	4	DM	DM
1	CoordinateSystemName	5	5	ECD	ECD
1	CoordinateSystemName	6	6	ECEF	ECEF
1	CoordinateSystemName	7	7	ENP	ENP
1	CoordinateSystemName	8	8	GEI	GEI
1	CoordinateSystemName	9	9	GEO	GEO
1	CoordinateSystemName	10	10	GPHIO	GPHIO
1	CoordinateSystemName	11	11	GSE	GSE
1	CoordinateSystemName	12	12	GSEQ	GSEQ
1	CoordinateSystemName	13	13	GSM	GSM
1	CoordinateSystemName	14	14	HAE	HAE
1	CoordinateSystemName	15	15	HCC	HCC
1	CoordinateSystemName	16	16	HCI	HCI
1	CoordinateSystemName	17	17	HCR	HCR
1	CoordinateSystemName	18	18	HEE	HEE
1	CoordinateSystemName	19	19	HEEQ	HEEQ
1	CoordinateSystemName	20	20	HERTN	HERTN
1	CoordinateSystemName	21	21	HG	HG
1	CoordinateSystemName	22	22	HGI	HGI
1	CoordinateSystemName	23	23	HGRTN	HGRTN
1	CoordinateSystemName	24	24	HPC	HPC
1	CoordinateSystemName	25	25	HPR	HPR
1	CoordinateSystemName	26	26	HSM	HSM
1	CoordinateSystemName	27	27	J2000	J2000
1	CoordinateSystemName	28	28	JSM	JSM
1	CoordinateSystemName	29	29	JSO	JSO
1	CoordinateSystemName	30	30	KSM	KSM
1	CoordinateSystemName	31	31	KSO	KSO
1	CoordinateSystemName	32	32	LGM	LGM
1	CoordinateSystemName	33	33	MAG	MAG
1	CoordinateSystemName	34	34	MFA	MFA
1	CoordinateSystemName	35	35	MSO	MSO
1	CoordinateSystemName	36	36	RTN	RTN
1	CoordinateSystemName	37	37	SC	SC
1	CoordinateSystemName	38	38	SE	SE
1	CoordinateSystemName	39	39	SM	SM
1	CoordinateSystemName	40	40	SR	SR
1	CoordinateSystemName	41	41	SR2	SR2
1	CoordinateSystemName	42	42	SSE	SSE
1	CoordinateSystemName	43	43	SSE_L	SSE_L
1	CoordinateSystemName	44	44	SpacecraftOrbitPlane	SpacecraftOrbitPlane
1	CoordinateSystemName	45	45	TIIS	TIIS
1	CoordinateSystemName	46	46	VSO	VSO
1	CoordinateSystemName	47	47	WGS84	WGS84
1	DisplayType	1	1	Image	Image
1	DisplayType	2	2	Plasmagram	Plasmagram
1	DisplayType	3	3	Spectrogram	Spectrogram
1	DisplayType	4	4	StackPlot	StackPlot
1	DisplayType	5	5	TimeSeries	TimeSeries
1	DisplayType	6	6	WaveForm	WaveForm
1	Encoding	1	1	ASCII	ASCII
1	Encoding	2	2	BZIP2	BZIP2
1	Encoding	3	3	Base64	Base64
1	Encoding	4	4	GZIP	GZIP
1	Encoding	5	5	None	None
1	Encoding	6	6	S3_BUCKET	S3_BUCKET
1	Encoding	7	7	TAR	TAR
1	Encoding	8	8	Unicode	Unicode
1	Encoding	9	9	ZIP	ZIP
1	FieldQuantity	1	1	Current	Current
1	FieldQuantity	2	2	Electric	Electric
1	FieldQuantity	3	3	Electromagnetic	Electromagnetic
1	FieldQuantity	4	4	Gyrofrequency	Gyrofrequency
1	FieldQuantity	5	5	Magnetic	Magnetic
1	FieldQuantity	6	6	PlasmaFrequency	PlasmaFrequency
1	FieldQuantity	7	7	Potential	Potential
1	FieldQuantity	8	8	PoyntingFlux	PoyntingFlux
1	Format	1	1	AVI	AVI
1	Format	2	2	Binary	Binary
1	Format	3	3	CDF	CDF
1	Format	4	4	CEF	CEF
1	Format	5	5	CEF1	CEF1
1	Format	6	6	CEF2	CEF2
1	Format	7	7	CSV	CSV
1	Format	8	8	Excel	Excel
1	Format	9	9	FITS	FITS
1	Format	10	10	GIF	GIF
1	Format	11	11	HDF	HDF
1	Format	12	12	HDF4	HDF4
1	Format	13	13	HDF5	HDF5
1	Format	14	14	HTML	HTML
1	Format	15	15	Hardcopy	Hardcopy
1	Format	16	16	Hardcopy.Film	Hardcopy.Film
1	Format	17	17	Hardcopy.Microfiche	Hardcopy.Microfiche
1	Format	18	18	Hardcopy.Microfilm	Hardcopy.Microfilm
1	Format	19	19	Hardcopy.Photograph	Hardcopy.Photograph
1	Format	20	20	Hardcopy.PhotographicPlate	Hardcopy.PhotographicPlate
1	Format	21	21	Hardcopy.Print	Hardcopy.Print
1	Format	22	22	IDFS	IDFS
1	Format	23	23	IDL	IDL
1	Format	24	24	JPEG	JPEG
1	Format	25	25	JSON	JSON
1	Format	26	26	MATLAB_4	MATLAB_4
1	Format	27	27	MATLAB_6	MATLAB_6
1	Format	28	28	MATLAB_7	MATLAB_7
1	Format	29	29	MPEG	MPEG
1	Format	30	30	NCAR	NCAR
1	Format	31	31	NetCDF	NetCDF
1	Format	32	32	PDF	PDF
0	Format	0	33		PDS3
0	Format	0	34		PDS4
1	Format	33	35	PNG	PNG
1	Format	34	36	Postscript	Postscript
1	Format	35	37	QuickTime	QuickTime
1	Format	36	38	TIFF	TIFF
1	Format	37	39	Text	Text
1	Format	38	40	Text.ASCII	Text.ASCII
1	Format	39	41	Text.Unicode	Text.Unicode
1	Format	40	42	UDF	UDF
1	Format	41	43	VOTable	VOTable
1	Format	42	44	XML	XML
1	MeasurementType	1	1	ActivityIndex	ActivityIndex
1	MeasurementType	2	2	Dopplergram	Dopplergram
1	MeasurementType	3	3	Dust	Dust
1	MeasurementType	4	4	ElectricField	ElectricField
1	MeasurementType	5	5	EnergeticParticles	EnergeticParticles
1	MeasurementType	6	6	Ephemeris	Ephemeris
1	MeasurementType	7	7	ImageIntensity	ImageIntensity
1	MeasurementType	8	8	InstrumentStatus	InstrumentStatus
1	MeasurementType	9	9	IonComposition	IonComposition
1	MeasurementType	10	10	Irradiance	Irradiance
1	MeasurementType	11	11	MagneticField	MagneticField
1	MeasurementType	12	12	Magnetogram	Magnetogram
1	MeasurementType	13	13	NeutralAtomImages	NeutralAtomImages
1	MeasurementType	14	14	NeutralGas	NeutralGas
1	MeasurementType	15	15	Profile	Profile
1	MeasurementType	16	16	Radiance	Radiance
1	MeasurementType	17	17	Spectrum	Spectrum
0	MeasurementType	0	18		SPICE
1	MeasurementType	18	19	ThermalPlasma	ThermalPlasma
1	MeasurementType	19	20	Waves	Waves
1	MeasurementType	20	21	Waves.Active	Waves.Active
1	MeasurementType	21	22	Waves.Passive	Waves.Passive
1	MixedQuantity	1	1	AkasofuEpsilon	AkasofuEpsilon
1	MixedQuantity	2	2	AlfvenMachNumber	AlfvenMachNumber
1	MixedQuantity	3	3	AlfvenVelocity	AlfvenVelocity
1	MixedQuantity	4	4	FrequencyToGyrofrequencyRatio	FrequencyToGyrofrequencyRatio
1	MixedQuantity	5	5	IMFClockAngle	IMFClockAngle
1	MixedQuantity	6	6	MagnetosonicMachNumber	MagnetosonicMachNumber
1	MixedQuantity	7	7	Other	Other
1	MixedQuantity	8	8	PlasmaBeta	PlasmaBeta
1	MixedQuantity	9	9	SolarUVFlux	SolarUVFlux
1	MixedQuantity	10	10	TotalPressure	TotalPressure
1	MixedQuantity	11	11	VCrossB	VCrossB
1	ObservedRegion	1	1	Asteroid	Asteroid
1	ObservedRegion	2	2	Comet	Comet
1	ObservedRegion	3	3	Earth	Earth
1	ObservedRegion	4	4	Earth.Magnetosheath	Earth.Magnetosheath
1	ObservedRegion	5	5	Earth.Magnetosphere	Earth.Magnetosphere
1	ObservedRegion	6	6	Earth.Magnetosphere.Magnetotail	Earth.Magnetosphere.Magnetotail
1	ObservedRegion	7	7	Earth.Magnetosphere.Main	Earth.Magnetosphere.Main
1	ObservedRegion	79	8	Earth.Magnetosphere.Plasmasphere	Earth.Magnetosphere.Plasmasphere
1	ObservedRegion	8	9	Earth.Magnetosphere.Polar	Earth.Magnetosphere.Polar
1	ObservedRegion	9	10	Earth.Magnetosphere.RadiationBelt	Earth.Magnetosphere.RadiationBelt
1	ObservedRegion	80	11	Earth.Magnetosphere.RingCurrent	Earth.Magnetosphere.RingCurrent
1	ObservedRegion	10	12	Earth.Moon	Earth.Moon
1	ObservedRegion	11	13	Earth.NearSurface	Earth.NearSurface
1	ObservedRegion	12	14	Earth.NearSurface.Atmosphere	Earth.NearSurface.Atmosphere
1	ObservedRegion	13	15	Earth.NearSurface.AuroralRegion	Earth.NearSurface.AuroralRegion
1	ObservedRegion	14	16	Earth.NearSurface.EquatorialRegion	Earth.NearSurface.EquatorialRegion
1	ObservedRegion	15	17	Earth.NearSurface.Ionosphere	Earth.NearSurface.Ionosphere
