data_product	spacecraft	instrument	cadence	resource_id
tha_l1_bau	A	BAU	PT3S	THEMIS/A/Level_1/BAU/PT3S
tha_l1_eff	A		PT0.125S	THEMIS/A/Level_1/EFF/PT0.125S
tha_l1_efp	A		PT0.0078125S	THEMIS/A/Level_1/EFP/PT0.0078125S
tha_l1_efw	A		PT0.00012207S	THEMIS/A/Level_1/EFW/PT0.00012207S
tha_l1_efw_dq	A		PT0.00012207S	THEMIS/A/Level_1/EFW_DQ/PT0.00012207S
tha_l1_esa	A	ESA	PT3S	THEMIS/A/Level_1/ESA/PT3S
tha_l1_fbk	A	FBK	PT4S	THEMIS/A/Level_1/FBK/PT4S
tha_l1_fff_32	A		PT8S	THEMIS/A/Level_1/FFF_32/PT8S
tha_l1_ffp_16	A		PT0.25S	THEMIS/A/Level_1/FFP_16/PT0.25S
tha_l1_ffp_32	A		PT0.5S	THEMIS/A/Level_1/FFP_32/PT0.5S
tha_l1_ffp_64	A		PT1S	THEMIS/A/Level_1/FFP_64/PT1S
tha_l1_ffw_16	A		PT0.25S	THEMIS/A/Level_1/FFW_16/PT0.25S
tha_l1_ffw_32	A		PT0.5S	THEMIS/A/Level_1/FFW_32/PT0.5S
tha_l1_ffw_64	A		PT1S	THEMIS/A/Level_1/FFW_64/PT1S
tha_l1_fge	A	FGM	PT0.0078125S	THEMIS/A/Level_1/FGM/FGE/PT0.0078125S
tha_l1_fgh	A	FGM	PT0.0078125S	THEMIS/A/Level_1/FGM/FGH/PT0.0078125S
tha_l1_fgl	A	FGM	PT0.0078125S	THEMIS/A/Level_1/FGM/FGL/PT0.0078125S
tha_l1_fgm	A	FGM	PT0.0078125S	THEMIS/A/Level_1/FGM/PT0.0078125S
tha_l1_fit	A	FIT	PT3S	THEMIS/A/Level_1/FIT/PT3S
tha_l1_hsk	A		PT1M	THEMIS/A/Level_1/HSK/PT1M
tha_l1_mom	A	MOM	PT3S	THEMIS/A/Level_1/MOM/PT3S
tha_l1_scf	A		PT0.125S	THEMIS/A/Level_1/SCF/PT0.125S
tha_l1_scmode	A		PT3S	THEMIS/A/Level_1/SCMODE/PT3S
