									
SPASE_PERSON_RESOURCE_ID	FULL_NAME	FIRST_NAME	AUTHORS_GIVEN_NAME	FAMILY_NAME	INITIAL_NAME	AFFILIATION_NAME	AFFILIATION_ROR	MISSION_ACRONYM	NAME_PATTERN
									
SMWG/Person/A.A.Sarkady	A. A. Sarkady	A.	A., A.	Sarkady	A.A. Sarkady	University of New Hampshire			I_I_N
SMWG/Person/A.A.Zertsalov	A. A. Zertsalov	A.	A., A.	Zertsalov	A.A. Zertsalov	Academy of Sciences			I_I_N
SMWG/Person/A.B.Prag	A. B. Prag	A.	A., B.	Prag	A.B. Prag	Aerospace Corporation			I_I_N
SMWG/Person/A.Boksenberg	A. Boksenberg	A.	A.	Boksenberg	A. Boksenberg	University College London			I_N
SMWG/Person/A.C.Brinkman	A. C. Brinkman	A.	A., C.	Brinkman	A.C. Brinkman	University of Utrecht			I_I_N
SMWG/Person/A.C.Ladd	A. C. Ladd	A.	A., C.	Ladd	A.C. Ladd	Science Research Council			I_I_N
SMWG/Person/A.C.Levasseur-Regourd	A. C. Levasseur-Regourd	A.	A., C.	Levasseur-Regourd	A.C. Levasseur-Regourd	CNRS Service d&apos;Aeronomie			I_I_N
SMWG/Person/A.Clements	A. Clements	A.	A.	Clements	A. Clements	Unknown - formerly at U of Arizona			I_N
SMWG/Person/A.D.Kuzmin	A. D. Kuzmin	A.	A., D.	Kuzmin	A.D. Kuzmin	Academy of Sciences			I_I_N
SMWG/Person/A.D.Mandel	A. D. Mandel	A.	A., D.	Mandel	A.D. Mandel	NASA Ames Research Center			I_I_N
SMWG/Person/A.Deruytherre	A. Deruytherre	A.	A.	Deruytherre	A. Deruytherre	Universite Catholique de Louvain			I_N
SMWG/Person/A.Dumbs	A. Dumbs	A.	A.	Dumbs	A. Dumbs	Institut fur Physikalische			I_N
SMWG/Person/A.Edward.Lilley	A. Edward Lilley	A.	A., Edward	Lilley	A.E. Lilley	Harvard College Observatory			I_N_N
SMWG/Person/A.Elliott	A. Elliott	A.	A.	Elliott	A. Elliott	University of California, San Diego			I_N
SMWG/Person/A.Fares	A. Fares	A.	A.	Fares	A. Fares	Service Magnetisme, Centre de Recherche en Astronomie Astrophysique et Geophysique (CRAAG)			I_N
SMWG/Person/A.G.Iosiphian	A. G. Iosiphian	A.	A., G.	Iosiphian	A.G. Iosiphian	Intercosmos			I_I_N
SMWG/Person/A.Galper	A. Galper	A.	A.	Galper	A. Galper	Academy of Sciences			I_N
SMWG/Person/A.Girard	A. Girard	A.	A.	Girard	A. Girard	Office National d&apos;Etudes et de			I_N
SMWG/Person/A.Goldman	A. Goldman	A.	A.	Goldman	A. Goldman	University of Denver			I_N
SMWG/Person/A.Gunchen-Ish	A. Gunchen-Ish	A.	A.	Gunchen-Ish	A. Gunchen-Ish	MPR Academy of Sciences, Center of Seismology and Geomagnetism, Ulan Bator, Peoples Republic of Mongolia			I_N
SMWG/Person/A.H.Sparrow	A. H. Sparrow	A.	A., H.	Sparrow	A.H. Sparrow	Brookhaven National Laboratory			I_I_N
SMWG/Person/A.Huber	A. Huber	A.	A.	Huber	A. Huber	Emmanuel College			I_N
SMWG/Person/A.I.Lebedinskiy	A. I. Lebedinskiy	A.	A., I.	Lebedinskiy	A.I. Lebedinskiy	Moscow State University			I_I_N
SMWG/Person/A.I.Pashkov	A. I. Pashkov	A.	A., I.	Pashkov	A.I. Pashkov	Academy of Sciences			I_I_N
SMWG/Person/A.Ian.Stewart	A. Ian Stewart	A.	A., Ian	Stewart	A.I. Stewart	University of Colorado			I_N_N
SMWG/Person/A.J.Favale	A. J. Favale	A.	A., J.	Favale	A.J. Favale	Grumman Aerospace Corporation			I_I_N
SMWG/Person/A.J.M.Deerenberg	A. J. M. Deerenberg	A.	A., J. M.	Deerenberg	A.J.M. Deerenberg	Rijksuniversiteit te Leiden			I_I_I_N
