CDAWeb_ID	DOI	SPASE_ResourceID	Parameters
A1_K0_MPA		NASA/NumericalData/LANL/2001/MPA/PT87S	yes
A2_K0_MPA		NASA/NumericalData/LANL/2002/MPA/PT87S	yes
AC_AT_DEF	https://doi.org/10.48322/f2a8-nm36	NASA/NumericalData/ACE/Attitude/Definitive/PT1H	yes
AC_H0_MFI	https://doi.org/10.48322/e0dc-0h53	NASA/NumericalData/ACE/MAG/L2/PT16S	yes
AC_H0_SWE	https://doi.org/10.48322/tsfn-6v47	NASA/NumericalData/ACE/SWEPAM/L2/PT64S	yes
AC_H1_EPM	https://doi.org/10.48322/w4wv-rj18	NASA/NumericalData/ACE/EPAM/L2/PT5M	yes
AC_H1_MFI	https://doi.org/10.48322/brf1-g493	NASA/NumericalData/ACE/MAG/L2/PT4M	yes
AC_H1_SIS	https://doi.org/10.48322/9kmb-8280	NASA/NumericalData/ACE/SIS/L2/PT256S	yes
AC_H2_CRIS	https://doi.org/10.48322/g72t-0814	NASA/NumericalData/ACE/CRIS/L2/PT1H	yes
AC_H2_EPM	https://doi.org/10.48322/pn1t-zx03	NASA/NumericalData/ACE/EPAM/L2/PT1H	yes
AC_H2_MFI	https://doi.org/10.48322/fh85-fj47	NASA/NumericalData/ACE/MAG/L2/PT1H	yes
AC_H2_SEP	https://doi.org/10.48322/3086-yq22	NASA/NumericalData/ACE/SEPICA/L2/PT1H	yes
AC_H2_SIS	https://doi.org/10.48322/eq1k-gs80	NASA/NumericalData/ACE/SIS/L2/PT1H	yes
AC_H2_SWE	https://doi.org/10.48322/9w01-2555	NASA/NumericalData/ACE/SWEPAM/L2/PT1H	yes
AC_H2_SWI		NASA/NumericalData/ACE/SWICS_SWIMS/L2/PT1H	yes
AC_H2_ULE	https://doi.org/10.48322/agmq-ex61	NASA/NumericalData/ACE/ULEIS/Ion/Fluxes/L2/PT1H	yes
AC_H3_CRIS	https://doi.org/10.48322/wbmv-4z80	NASA/NumericalData/ACE/CRIS/L2/P1D	yes
AC_H3_EPM	https://doi.org/10.48322/jqj0-vn49	NASA/NumericalData/ACE/EPAM/L2_PT12S	yes
AC_H3_MFI	https://doi.org/10.48322/7xyh-4z44	NASA/NumericalData/ACE/MAG/L2/PT1S	yes
AC_H3_SW2		NASA/NumericalData/ACE/SWICS/L2/PT2H	yes
AC_H3_SWI		NASA/NumericalData/ACE/SWICS_SWIMS/L2/PT2H	yes
AC_H4_SWI		NASA/NumericalData/ACE/SWICS_SWIMS/L2/P1D	yes
AC_H5_SWI		NASA/NumericalData/ACE/SWICS_SWIMS/L2/ChargeState/PT2H	yes
AC_H6_SWI		NASA/NumericalData/ACE/SWICS/L2/PT12M	yes
AC_K0_EPM	https://doi.org/10.48322/ghbm-qj24	NASA/NumericalData/ACE/EPAM/KeyParameter/PT5M	yes
AC_K0_MFI	https://doi.org/10.48322/cs7n-7c62	NASA/NumericalData/ACE/MAG/KeyParameter/PT5M	yes
AC_K0_SIS	https://doi.org/10.48322/1fgf-zm82	NASA/NumericalData/ACE/SIS/L2/KP/PT1H	yes
AC_K0_SWE	https://doi.org/10.48322/pfr6-fg57	NASA/NumericalData/ACE/SWEPAM/KeyParameter/PT5M	yes
AC_K1_EPM	https://doi.org/10.48322/qgh8-2q85	NASA/NumericalData/ACE/EPAM/KeyParameter/PT1H	yes
AC_K1_MFI	https://doi.org/10.48322/av87-m833	NASA/NumericalData/ACE/MAG/KeyParameter/PT16S	yes
AC_K1_SWE	https://doi.org/10.48322/0n2v-es49	NASA/NumericalData/ACE/SWEPAM/KeyParameter/K1/PT1H	yes
