Version	Since	Object	Element	Order	Occurrence	Group	Type
2.6.0	1.1.0	Access Information	Repository ID	01	1		
2.6.0	1.1.0	Access Information	Availability	02	0		
2.6.0	1.1.0	Access Information	Access Rights	03	0		
2.6.0	1.1.0	Access Information	Access URL	04	+		
2.6.0	1.1.0	Access Information	Format	05	+		
2.6.0	1.1.0	Access Information	Encoding	06	0		
2.6.0	1.1.0	Access Information	Access Directory Template	07	0		
2.6.0	1.1.0	Access Information	Access Filename Template	08	0		
2.6.0	1.2.0	Access Information	Data Extent	09	0		
2.6.0	1.1.0	Access Information	Acknowledgement	10	0		
2.6.0	1.1.0	Access Information Optional	Repository ID	01	r		
2.6.0	1.1.0	Access Information Optional	Availability	02	0		
2.6.0	1.1.0	Access Information Optional	Access Rights	03	0		
2.6.0	1.1.0	Access Information Optional	Access URL	04	+		
2.6.0	1.1.0	Access Information Optional	Format	05	+		
2.6.0	1.1.0	Access Information Optional	Encoding	06	0		
2.6.0	1.1.0	Access Information Optional	Access Directory Template	07	0		
2.6.0	1.1.0	Access Information Optional	Access Filename Template	08	0		
2.6.0	1.2.0	Access Information Optional	Data Extent	09	0		
2.6.0	1.1.0	Access Information Optional	Acknowledgement	10	0		
2.6.0	1.1.0	Access URL	Name	01	0		
2.6.0	1.1.0	Access URL	URL	02	1		
2.6.0	2.3.0	Access URL	Style	03	0		
2.6.0	2.2.2	Access URL	Product Key	04	*		
2.6.0	1.1.0	Access URL	Description	05	0		
2.6.0	1.3.0	Access URL	Language	06	0		
2.6.0	1.3.4	Annotation	Resource ID	01	1		
2.6.0	1.3.4	Annotation	Resource Header	02	1		
2.6.0	1.3.4	Annotation	Image URL	03	0		
2.6.0	1.3.4	Annotation	Annotation Type	04	1		
2.6.0	1.3.4	Annotation	Phenomenon Type	05	*		
2.6.0	1.3.4	Annotation	Classification Method	06	0		
2.6.0	1.3.4	Annotation	Confidence Rating	07	0		
2.6.0	1.3.4	Annotation	Time Span	08	*		
2.6.0	1.3.4	Annotation	Observation Extent	09	*		
2.6.0	1.3.4	Annotation	Extension	10	*		
2.6.0	1.3.3	Association	Association ID	01	1		
2.6.0	1.3.3	Association	Association Type	02	1		
2.6.0	1.3.3	Association	Note	03	0		
2.6.0	1.1.0	Azimuthal Angle Range	Low	01	1		
2.6.0	1.1.0	Azimuthal Angle Range	High	02	1		
2.6.0	1.1.0	Azimuthal Angle Range	Units	03	1		
2.6.0	1.1.0	Azimuthal Angle Range	Bin	04	*		
2.6.0	1.3.0	Bin	Band Name	01	0		
2.6.0	1.1.0	Bin	Low	02	1		
2.6.0	1.1.0	Bin	High	03	1		
2.6.0	2.6.0	Boundary Conditions	Particle Boundary	01	0		
2.6.0	2.6.0	Boundary Conditions	Field Boundary	02	0		
2.6.0	1.1.0	Catalog	Resource ID	01	1		
2.6.0	1.1.0	Catalog	Resource Header	02	1		
2.6.0	1.1.0	Catalog	Access Information	03	+		
2.6.0	2.2.9	Catalog	Provider Name	04	0		
2.6.0	1.1.0	Catalog	Provider Resource Name	05	0		
2.6.0	1.1.0	Catalog	Provider Version	06	0		
2.6.0	1.1.0	Catalog	Instrument ID	07	*		
2.6.0	1.1.0	Catalog	Phenomenon Type	08	+		
2.6.0	1.1.0	Catalog	Time Span	09	0		
2.6.0	1.1.0	Catalog	Caveats	10	0		
2.6.0	1.1.0	Catalog	Keyword	11	*		
2.6.0	1.1.0	Catalog	Input Resource ID	12	*		
2.6.0	1.3.0	Catalog	Parameter	13	*		
2.6.0	1.3.0	Catalog	Extension	14	*		
2.6.0	1.2.0	Checksum	Hash Value	01	1		
2.6.0	1.2.0	Checksum	Hash Function	02	1		
2.6.0	2.5.0	Collection	Resource ID	01	1		
2.6.0	2.5.0	Collection	Resource Header	02	1		
2.6.0	2.5.0	Collection	Access Information	03	+		
2.6.0	2.5.0	Collection	Member	04	+		
2.6.0	2.5.0	Collection	Extension	05	*		
2.6.0	1.1.0	Contact	Person ID	01	1		
2.6.0	1.1.0	Contact	Role	02	+		
2.6.0	2.3.1	Contact	Start Date	03	0		
2.6.0	2.3.1	Contact	Stop Date	04	0		
2.6.0	2.3.1	Contact	Note	05	0		
2.6.0	1.1.0	Coordinate System	Coordinate Representation	01	1		
2.6.0	1.1.0	Coordinate System	Coordinate System Name	02	1		
2.6.0	1.3.0	Data Extent	Quantity	01	1		
2.6.0	1.2.0	Data Extent	Units	02	0		
2.6.0	1.2.0	Data Extent	Per	03	0		
2.6.0	2.6.0	Diagnosis Time Step	Time Start	01	1		
2.6.0	2.6.0	Diagnosis Time Step	Duration	02	1		
2.6.0	2.6.0	Diagnosis Time Step	Saved Quantity	03	*		
2.6.0	1.1.0	Display Data	Resource ID	01	1		
2.6.0	1.1.0	Display Data	Resource Header	02	1		
2.6.0	1.1.0	Display Data	Access Information	03	+		
2.6.0	1.1.0	Display Data	Processing Level	04	0		
2.6.0	2.2.9	Display Data	Provider Name	05	0		
2.6.0	1.1.0	Display Data	Provider Resource Name	06	0		
2.6.0	1.1.0	Display Data	Provider Processing Level	07	0		
2.6.0	1.1.0	Display Data	Provider Version	08	0		
2.6.0	1.1.0	Display Data	Instrument ID	09	*		
2.6.0	1.1.0	Display Data	Measurement Type	10	+		
2.6.0	1.1.0	Display Data	Temporal Description	11	0		
2.6.0	1.1.0	Display Data	Spectral Range	12	*		
2.6.0	1.1.0	Display Data	Display Cadence	13	0		
2.6.0	1.1.0	Display Data	Observed Region	14	*		
2.6.0	2.4.2	Display Data	Spatial Coverage	15	+		
2.6.0	1.1.0	Display Data	Caveats	16	0		
2.6.0	1.1.0	Display Data	Keyword	17	*		
2.6.0	1.1.0	Display Data	Input Resource ID	18	*		
2.6.0	1.3.0	Display Data	Parameter	19	*		
2.6.0	1.3.0	Display Data	Extension	20	*		
2.6.0	2.6.0	Display Output	Resource ID	01	1		
2.6.0	2.6.0	Display Output	Resource Header	02	1		
2.6.0	2.6.0	Display Output	Access Information	03	+		
2.6.0	2.6.0	Display Output	Processing Level	04	0		
2.6.0	2.6.0	Display Output	Provider Resource Name	05	0		
2.6.0	2.6.0	Display Output	Provider Processing Level	06	0		
2.6.0	2.6.0	Display Output	Provider Version	07	0		
2.6.0	2.6.0	Display Output	Modeled Instrument ID	08	*		
2.6.0	2.6.0	Display Output	Measurement Type	09	+		
2.6.0	2.6.0	Display Output	Temporal Description	10	0	SpacialTemporalEntity	
2.6.0	2.6.0	Display Output	Spatial Description	11	0	SpacialTemporalEntity	
2.6.0	2.6.0	Display Output	Spectral Range	12	*		
2.6.0	2.6.0	Display Output	Display Cadence	13	0		
2.6.0	2.6.0	Display Output	Modeled Region	14	*		
2.6.0	2.6.0	Display Output	Caveats	15	0		
2.6.0	2.6.0	Display Output	Keyword	16	*		
2.6.0	2.6.0	Display Output	Input Resource ID	17	*		
2.6.0	2.6.0	Display Output	Parameter	18	*		
2.6.0	2.6.0	Display Output	Model Product	19	0		
2.6.0	2.6.0	Display Output	Property	20	*		
2.6.0	2.6.0	Display Output	Extension	21	0		
2.6.0	1.3.0	Document	Resource ID	01	1		
2.6.0	1.3.0	Document	Resource Header	02	1		
2.6.0	1.3.0	Document	Access Information	03	+		
2.6.0	1.3.0	Document	Keyword	04	*		
2.6.0	1.3.0	Document	Document Type	05	1		
2.6.0	1.3.0	Document	MIMEType	06	1		
2.6.0	1.3.0	Document	Input Resource ID	07	*		
2.6.0	1.2.0	Element	Name	01	1		
2.6.0	1.2.0	Element	Qualifier	02	*		
2.6.0	1.2.0	Element	Index	03	1		
2.6.0	1.2.0	Element	Parameter Key	04	0		
2.6.0	1.3.0	Element	Units	05	0		
2.6.0	1.3.0	Element	Units Conversion	06	0		
2.6.0	1.3.0	Element	Valid Min	07	0		
2.6.0	1.3.0	Element	Valid Max	08	0		
2.6.0	1.3.0	Element	Fill Value	09	0		
2.6.0	1.3.0	Element	Rendering Hints	10	0		
2.6.0	2.6.0	Element Boundary	Caveats	01	0		
2.6.0	2.6.0	Element Boundary	Front Wall	02	0		
2.6.0	2.6.0	Element Boundary	Back Wall	03	0		
2.6.0	2.6.0	Element Boundary	Side Wall	04	0		
2.6.0	2.6.0	Element Boundary	Obstacle	05	0		
2.6.0	1.1.0	Energy Range	Low	01	1		
2.6.0	1.1.0	Energy Range	High	02	1		
2.6.0	1.1.0	Energy Range	Units	03	1		
2.6.0	1.1.0	Energy Range	Bin	04	*		
2.6.0	2.4.0	Execution Environment	Operating System	01	1		
2.6.0	2.4.0	Execution Environment	Installer	02	1		
2.6.0	2.4.0	Execution Environment	Cores	03	0		
2.6.0	2.4.0	Execution Environment	Storage	04	0		
2.6.0	2.4.0	Execution Environment	Memory	05	0		
2.6.0	1.3.1	Field	Qualifier	01	*		
2.6.0	1.1.0	Field	Field Quantity	02	1		
2.6.0	1.1.0	Field	Frequency Range	03	0		
2.6.0	1.3.0	Frequency Range	Spectral Range	01	0		
2.6.0	1.1.0	Frequency Range	Low	02	1		
2.6.0	1.1.0	Frequency Range	High	03	1		
2.6.0	1.1.0	Frequency Range	Units	04	1		
2.6.0	1.1.0	Frequency Range	Bin	05	*		
2.6.0	2.3.0	Funding	Agency	01	1		
2.6.0	2.3.0	Funding	Project	02	1		
2.6.0	2.3.0	Funding	Award Number	03	0		
2.6.0	1.1.0	Granule	Resource ID	01	1		
2.6.0	1.1.0	Granule	Release Date	02	1		
2.6.0	1.2.0	Granule	Expiration Date	03	0		
2.6.0	1.1.0	Granule	Parent ID	04	1		
2.6.0	1.1.0	Granule	Prior ID	05	*		
2.6.0	1.1.0	Granule	Start Date	06	1	StartEntity	
2.6.0	1.1.0	Granule	Stop Date	07	1	StopEntity	
2.6.0	2.4.2	Granule	Spatial Coverage	08	+		
2.6.0	1.3.1	Granule	Source	09	+		
2.6.0	2.6.0	Granule	Region Begin	10	1	RegionStartEntity	
2.6.0	2.6.0	Granule	Region End	11	1	RegionStopEntity	
2.6.0	1.1.0	Information URL	Name	01	0		
2.6.0	1.1.0	Information URL	URL	02	1		
2.6.0	1.1.0	Information URL	Description	03	0		
2.6.0	1.3.4	Information URL	Language	04	0		
2.6.0	2.6.0	Input Field	Name	01	1		
2.6.0	2.6.0	Input Field	Set	02	*		
2.6.0	2.6.0	Input Field	Parameter Key	03	0		
2.6.0	2.6.0	Input Field	Description	04	0		
2.6.0	2.6.0	Input Field	Caveats	05	0		
2.6.0	2.6.0	Input Field	Modeled Region	06	*		
2.6.0	2.6.0	Input Field	Coordinate System	07	0		
2.6.0	2.6.0	Input Field	Qualifier	08	*		
2.6.0	2.6.0	Input Field	Field Quantity	09	1		
2.6.0	2.6.0	Input Field	Units	10	0		
2.6.0	2.6.0	Input Field	Units Conversion	11	0		
2.6.0	2.6.0	Input Field	Input Label	12	0		
2.6.0	2.6.0	Input Field	Field Value	13	0		
2.6.0	2.6.0	Input Field	Input Table URL	14	0		
2.6.0	2.6.0	Input Field	Valid Min	15	0		
2.6.0	2.6.0	Input Field	Valid Max	16	0		
2.6.0	2.6.0	Input Field	Field Model	17	0		
2.6.0	2.6.0	Input Field	Model URL	18	0		
2.6.0	2.6.0	Input Parameter	Name	01	1		
2.6.0	2.6.0	Input Parameter	Description	02	0		
2.6.0	2.6.0	Input Parameter	Caveats	03	0		
2.6.0	2.6.0	Input Parameter	Modeled Region	04	*		
2.6.0	2.6.0	Input Parameter	Qualifier	05	*		
2.6.0	2.6.0	Input Parameter	Input Table URL	05	*		
